t,x,y,z,roll,pitch,yaw,valid
2.533332,-0.37517,0.735951,-0.356594,0.503899,-20.0567,-37.789684,1
2.566666,-0.373009,0.737888,-0.357789,0.291134,-19.442017,-37.695385,1
2.599999,-0.370859,0.739695,-0.359113,0.073257,-18.823332,-38.036152,1
2.633332,-0.368872,0.741822,-0.360415,-0.155273,-18.389887,-38.787029,1
2.666666,-0.366648,0.744824,-0.361609,-0.15921,-18.024193,-39.709274,1
2.699999,-0.364465,0.748404,-0.362569,-0.032685,-17.622496,-40.724152,1
2.733332,-0.362036,0.752719,-0.363926,0.162113,-17.20739,-41.633766,1
2.766665,-0.358635,0.757891,-0.365708,0.305325,-16.534145,-42.35799,1
2.799999,-0.354422,0.763443,-0.368148,0.206836,-15.525634,-42.94215,1
2.833332,-0.349251,0.769593,-0.37046,-0.059266,-14.320795,-43.454868,1
2.866665,-0.343344,0.776504,-0.372476,-0.473022,-13.13015,-43.941338,1
2.899999,-0.336428,0.783841,-0.374108,-0.997283,-11.930905,-44.473122,1
2.933332,-0.328852,0.791575,-0.375234,-1.464081,-11.067658,-45.11903,1
2.966665,-0.320834,0.799758,-0.376712,-1.919891,-10.522124,-45.849472,1
2.999999,-0.311566,0.807759,-0.379027,-2.304596,-10.09353,-46.669872,1
3.033332,-0.302654,0.815206,-0.380954,-2.473633,-9.49774,-47.471603,1
3.066665,-0.29294,0.822824,-0.381978,-2.471833,-8.930635,-48.281628,1
3.099998,-0.283608,0.830024,-0.382688,-2.47818,-8.412935,-49.057587,1
3.133332,-0.273949,0.83686,-0.3827,-2.593598,-7.972743,-49.863346,1
3.166665,-0.264891,0.842784,-0.382199,-2.64267,-7.675261,-50.643574,1
3.199998,-0.256158,0.848085,-0.381989,-2.707825,-7.521786,-51.450523,1
3.233332,-0.247527,0.852994,-0.381607,-2.799774,-7.440951,-52.350842,1
3.266665,-0.239273,0.857354,-0.381402,-2.979156,-7.408535,-53.312386,1
3.299998,-0.231175,0.861019,-0.381478,-3.066437,-7.375853,-54.307095,1
3.333332,-0.22318,0.863949,-0.381625,-3.110139,-7.353395,-55.372032,1
3.366665,-0.215307,0.866312,-0.381682,-3.10196,-7.510523,-56.448341,1
3.399998,-0.20738,0.868104,-0.381738,-2.937104,-7.731965,-57.452927,1
3.433331,-0.199846,0.869781,-0.381629,-2.747864,-8.031339,-58.366081,1
3.466665,-0.192377,0.870959,-0.381402,-2.641113,-8.32406,-59.179153,1
3.499998,-0.1848,0.871678,-0.381273,-2.569183,-8.383941,-59.931957,1
3.533331,-0.177353,0.871556,-0.381559,-2.53366,-8.356135,-60.5779,1
3.566665,-0.169572,0.870995,-0.382033,-2.516816,-8.167328,-61.206413,1
3.599998,-0.161959,0.869612,-0.382409,-2.384278,-7.883301,-61.806343,1
3.633331,-0.154458,0.86768,-0.382333,-2.247864,-7.816864,-62.364998,1
3.666665,-0.146954,0.865318,-0.382446,-2.218903,-7.787931,-62.978165,1
3.699998,-0.139352,0.861799,-0.382605,-2.168641,-7.631069,-63.500389,1
3.733331,-0.131395,0.858157,-0.382187,-2.167083,-7.531922,-63.99081,1
3.766665,-0.123472,0.854559,-0.381865,-2.25711,-7.616064,-64.44693,1
3.799998,-0.114896,0.850682,-0.381929,-2.446839,-7.661689,-64.808434,1
3.833331,-0.105613,0.846647,-0.382098,-2.583313,-7.577821,-65.047089,1
3.866664,-0.09673,0.842288,-0.381966,-2.568848,-7.616849,-65.194389,1
3.899998,-0.087894,0.837867,-0.381352,-2.58368,-7.571961,-65.264366,1
3.933331,-0.079155,0.833578,-0.379662,-2.534424,-7.31283,-65.258621,1
3.966664,-0.07148,0.829315,-0.376653,-2.311218,-7.112979,-65.112625,1
3.999998,-0.063557,0.824739,-0.376141,-2.364076,-7.497676,-64.920212,1
4.033331,-0.055758,0.819748,-0.377577,-2.27594,-7.578429,-64.475731,1
4.066664,-0.048345,0.81543,-0.378782,-2.579346,-7.955592,-64.253609,1
4.099998,-0.041795,0.811502,-0.378903,-2.600036,-8.633454,-64.237289,1
4.133331,-0.035311,0.808167,-0.377774,-2.476807,-9.276059,-64.268265,1
4.166664,-0.028958,0.804742,-0.376281,-2.466035,-9.720492,-64.49646,1
4.199997,-0.022205,0.801215,-0.375381,-2.539643,-10.083893,-64.957001,1
4.233331,-0.015136,0.797983,-0.374352,-2.503845,-10.651823,-65.412033,1
4.266664,-0.008156,0.795407,-0.372993,-2.418334,-11.71945,-66.075027,1
4.299997,-0.001109,0.793354,-0.371357,-2.291901,-12.844969,-66.881638,1
4.333331,0.006162,0.791283,-0.369933,-2.134949,-13.701625,-67.725494,1
4.366664,0.014003,0.789195,-0.368564,-1.863343,-14.255062,-68.6605,1
4.399997,0.022326,0.787585,-0.367032,-1.634492,-14.818204,-69.579277,1
4.433331,0.031042,0.78607,-0.365281,-1.446808,-15.462584,-70.456337,1
4.466664,0.040293,0.784949,-0.363582,-1.371765,-16.077629,-71.371208,1
4.499997,0.050028,0.784021,-0.361738,-1.436889,-16.697142,-72.323318,1
4.53333,0.060319,0.783372,-0.360081,-1.606659,-17.286648,-73.294334,1
4.566664,0.07115,0.782819,-0.35862,-1.665649,-17.83124,-74.361588,1
4.599997,0.082487,0.782494,-0.357201,-1.727326,-18.153687,-75.35807,1
4.63333,0.094987,0.782653,-0.356401,-1.935424,-18.204557,-76.343178,1
4.666664,0.107875,0.783017,-0.355707,-2.132964,-18.046507,-77.358101,1
4.699997,0.121248,0.783426,-0.355369,-2.411286,-17.892384,-78.357582,1
4.73333,0.135296,0.783921,-0.356443,-2.849365,-18.170044,-79.394997,1
4.766664,0.149619,0.784954,-0.35772,-3.216464,-18.254028,-80.312874,1
4.799997,0.163402,0.785856,-0.359225,-3.392151,-18.101933,-81.062256,1
4.83333,0.1766,0.786435,-0.36087,-3.620514,-17.733582,-81.721443,1
4.866663,0.189494,0.787158,-0.362177,-3.929721,-17.320164,-82.398674,1
4.899997,0.201741,0.788207,-0.363153,-4.115419,-17.145754,-83.13855,1
4.93333,0.212763,0.788778,-0.363979,-4.103914,-17.210417,-83.907639,1
