t,x,y,z,roll,pitch,yaw,valid
2.266666,-0.729058,-0.159651,-1.69662,3.087117,-29.403553,8.526133,0
2.299999,-0.733379,-0.16166,-1.69398,2.913143,-30.752535,8.812847,0
2.333333,-0.733379,-0.16166,-1.69398,2.913143,-30.752535,8.812847,0
2.366666,-0.736431,-0.163071,-1.69229,2.496038,-31.480736,9.031345,0
2.399999,-0.737552,-0.163479,-1.691696,2.185323,-31.565458,8.891925,0
2.433332,-0.737552,-0.163479,-1.691696,2.185323,-31.565458,8.891925,0
2.466666,-0.738289,-0.163747,-1.691287,1.36498,-29.348816,8.011086,0
2.499999,-0.738289,-0.163747,-1.691287,1.36498,-29.348816,8.011086,0
2.533332,-0.737213,-0.163941,-1.691667,1.10264,-28.325129,7.525731,0
2.566666,-0.737213,-0.163941,-1.691667,1.10264,-28.325129,7.525731,0
2.599999,-0.734455,-0.162614,-1.693165,0.575535,-27.7395,7.610013,0
2.666666,-0.733161,-0.162538,-1.693301,0.299475,-27.841612,7.68076,0
2.699999,-0.728931,-0.161709,-1.693836,-0.300476,-27.510162,7.378499,0
2.733332,-0.728931,-0.161709,-1.693836,-0.300476,-27.510162,7.378499,0
2.766665,-0.72421,-0.161058,-1.693484,-1.023682,-27.945738,6.37189,0
2.799999,-0.72421,-0.161058,-1.693484,-1.023682,-27.945738,6.37189,0
2.833332,-0.71577,-0.159807,-1.696546,-1.486572,-27.10693,6.324094,0
2.866665,-0.71577,-0.159807,-1.696546,-1.486572,-27.10693,6.324094,0
2.899999,-0.705783,-0.158737,-1.701894,-1.259827,-26.317469,5.8026,0
2.933332,-0.7003,-0.158073,-1.705176,-0.859711,-26.134119,6.059192,0
2.999999,-0.690622,-0.156831,-1.714554,-0.154327,-31.300741,5.609637,0
3.033332,-0.690622,-0.156831,-1.714554,-0.154327,-31.300741,5.609637,0
3.066665,-0.683261,-0.15493,-1.725644,-0.531921,-34.560947,5.8712,0
3.099998,-0.683261,-0.15493,-1.725644,-0.531921,-34.560947,5.8712,0
3.133332,-0.680371,-0.153653,-1.736118,0.05067,-38.507591,5.569499,0
3.166665,-0.680284,-0.152482,-1.739887,0.103502,-36.071251,5.643224,0
3.199998,-0.680284,-0.152482,-1.739887,0.103502,-36.071251,5.643224,0
3.233332,-0.681216,-0.151215,-1.746181,0.64789,-36.927273,4.585353,0
3.266665,-0.681216,-0.151215,-1.746181,0.64789,-36.927273,4.585353,0
3.299998,-0.681783,-0.148084,-1.750459,0.621083,-40.736427,4.378541,0
3.333332,-0.681783,-0.148084,-1.750459,0.621083,-40.736427,4.378541,0
3.366665,-0.679319,-0.143759,-1.752985,0.105073,-46.449692,5.885769,0
3.399998,-0.677608,-0.141505,-1.754381,-0.430572,-49.113216,7.010372,0
3.433331,-0.677608,-0.141505,-1.754381,-0.430572,-49.113216,7.010372,0
3.466665,-0.672677,-0.1384,-1.756313,-0.747742,-53.894527,7.653698,0
3.499998,-0.672677,-0.1384,-1.756313,-0.747742,-53.894527,7.653698,0
3.533331,-0.6698,-0.135857,-1.757252,-1.339996,-58.776165,7.003856,0
3.566665,-0.6698,-0.135857,-1.757252,-1.339996,-58.776165,7.003856,0
3.599998,-0.669897,-0.134017,-1.756397,-1.556091,-64.179001,6.408676,0
3.633331,-0.669897,-0.134017,-1.756397,-1.556091,-64.179001,6.408676,0
3.666665,-0.671629,-0.132038,-1.754438,-0.94275,-69.036362,4.75928,0
3.699998,-0.673252,-0.131317,-1.753339,0.09356,-70.921822,3.682712,0
3.733331,-0.673252,-0.131317,-1.753339,0.09356,-70.921822,3.682712,0
3.766665,-0.674919,-0.129782,-1.751302,0.95965,-72.546738,2.612396,0
3.799998,-0.674919,-0.129782,-1.751302,0.95965,-72.546738,2.612396,0
3.833331,-0.676436,-0.128354,-1.749299,1.257449,-72.290489,1.623693,0
3.866664,-0.676436,-0.128354,-1.749299,1.257449,-72.290489,1.623693,0
3.899998,-0.678443,-0.127008,-1.749021,0.065007,-71.636276,2.633568,0
3.933331,-0.678443,-0.127008,-1.749021,0.065007,-71.636276,2.633568,0
3.966664,-0.682006,-0.126897,-1.749653,0.943773,-71.932022,1.788536,0
