Name,X,Y,Z,Yaw,Pitch,Roll
v0,-2.0,0.0,0.0,0.0,0.0,0
v1,-0.0,2.0,0.0,90.0,0.0,0
v2,2.0,0.0,0.0,180.0,0.0,0
v3,0.0,-2.0,0.0,270.0,0.0,0
v4,0.0,2.0,0.0,90.0,-0.0,90
v5,0.0,0.0,2.0,90.0,-90.0,90
v6,0.0,-2.0,0.0,90.0,-180.0,90
v7,0.0,-0.0,-2.0,90.0,-270.0,90
v8,-2.0,0.0,0.0,0.0,-0.0,90
v9,-0.0,0.0,2.0,0.0,-90.0,90
v10,2.0,0.0,0.0,0.0,-180.0,90
v11,0.0,0.0,-2.0,0.0,-270.0,90
