t,x,y,z,roll,pitch,yaw,valid
0.0,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.033333,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.066667,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.1,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.133333,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.166667,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.2,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.233333,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.266667,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.3,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.333333,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.366667,0.902852,0.735336,-0.454424,1.578479,3.939926,-141.85643,1
0.4,0.90283,0.73592,-0.454393,1.54569,3.982697,-141.869736,1
0.433333,0.902499,0.7365,-0.454424,1.488564,4.00861,-141.919235,1
0.466667,0.902419,0.736674,-0.45439,1.453381,4.029176,-141.940933,1
0.5,0.902545,0.737617,-0.454518,1.38769,4.108584,-141.984619,1
0.533333,0.902452,0.737604,-0.454537,1.369707,4.132647,-142.00499,1
0.566667,0.902417,0.73792,-0.454506,1.339139,4.182364,-142.025497,1
0.6,0.901816,0.737617,-0.45491,1.325404,4.271224,-142.041504,1
0.633333,0.901822,0.737787,-0.455001,1.283205,4.372612,-142.059113,1
0.666667,0.901875,0.738119,-0.455211,1.303225,4.504994,-142.045731,1
0.7,0.901608,0.738104,-0.455424,1.296753,4.572149,-142.055359,1
0.733334,0.901717,0.738605,-0.455487,1.307715,4.631086,-142.031036,1
0.766667,0.901524,0.738507,-0.455629,1.272814,4.711669,-142.006546,1
0.8,0.901583,0.738767,-0.455667,1.227364,4.774561,-141.983261,1
0.833334,0.901412,0.73878,-0.45553,1.197776,4.749385,-141.979309,1
0.866667,0.901275,0.739044,-0.455439,1.153895,4.715009,-142.014145,1
0.9,0.900972,0.739091,-0.455492,1.166348,4.699156,-142.061127,1
0.933334,0.900553,0.73878,-0.455346,1.171688,4.622317,-142.094849,1
0.966667,0.9001,0.738288,-0.455039,1.17518,4.5172,-142.120499,1
1.0,0.8997,0.738155,-0.45482,1.188208,4.437014,-142.122253,1
1.033334,0.899112,0.73771,-0.454558,1.17983,4.332648,-142.143494,1
1.066667,0.898367,0.737289,-0.454324,1.202082,4.163218,-142.164474,1
1.1,0.89719,0.736649,-0.453686,1.238685,3.917339,-142.191254,1
1.133334,0.895875,0.735972,-0.452589,1.258361,3.612992,-142.219925,1
1.166667,0.893878,0.735313,-0.451547,1.306213,3.165349,-142.28215,1
1.2,0.891491,0.73484,-0.451118,1.499564,2.707466,-142.276749,1
1.233333,0.888475,0.733746,-0.450223,1.766576,2.212209,-142.190598,1
1.266667,0.885193,0.732876,-0.448927,1.997108,1.592424,-142.012039,1
1.3,0.881169,0.731986,-0.447414,2.282417,1.056453,-141.729553,1
1.333333,0.876433,0.731054,-0.446419,2.630562,0.586235,-141.361115,1
1.366667,0.871001,0.730026,-0.445198,2.90431,0.164812,-140.999908,1
1.4,0.865085,0.729323,-0.443429,3.173645,-0.450683,-140.619919,1
1.433333,0.858506,0.728221,-0.441544,3.309252,-1.105377,-140.204605,1
1.466667,0.851178,0.726672,-0.439347,3.443534,-1.768493,-139.862015,1
