t,x,y,z,roll,pitch,yaw,valid
2.166666,-0.923261,-0.033614,-0.420152,-5.564793,-12.345518,-9.431561,1
2.199999,-0.915332,-0.039729,-0.417992,-5.633029,-12.726992,-9.211957,1
2.233333,-0.906859,-0.046293,-0.415401,-5.902378,-13.287688,-8.964275,1
2.266666,-0.899625,-0.054248,-0.41293,-6.347386,-13.955776,-8.802897,1
2.299999,-0.892276,-0.063203,-0.410875,-6.752783,-14.479461,-8.717022,1
2.333333,-0.885145,-0.073099,-0.409221,-7.054084,-14.688205,-8.631452,1
2.366666,-0.877242,-0.083315,-0.407848,-7.191383,-14.868133,-8.599864,1
2.399999,-0.869104,-0.093978,-0.406478,-7.09394,-15.134339,-8.510663,1
2.433332,-0.86103,-0.104671,-0.405676,-6.83338,-15.24072,-8.382304,1
2.466666,-0.852777,-0.11593,-0.405278,-6.46729,-15.237912,-8.214577,1
2.499999,-0.844253,-0.128471,-0.405456,-6.065952,-15.256066,-7.906502,1
2.533332,-0.833508,-0.140363,-0.406495,-5.626103,-15.260896,-7.436652,1
2.566666,-0.821935,-0.152259,-0.407171,-5.228121,-15.264769,-6.91297,1
2.599999,-0.809615,-0.164217,-0.407155,-4.66324,-15.283893,-6.242375,1
2.633332,-0.797522,-0.17672,-0.406856,-4.116365,-15.375759,-5.547549,1
2.666666,-0.785922,-0.189848,-0.405725,-3.511475,-15.363335,-4.966586,1
2.699999,-0.773705,-0.201835,-0.404631,-2.634186,-15.137666,-4.457002,1
2.733332,-0.76168,-0.212909,-0.403498,-1.66391,-14.75439,-3.970551,1
2.766665,-0.749793,-0.222839,-0.401763,-0.872742,-14.650174,-3.546449,1
2.799999,-0.738839,-0.232926,-0.399735,-0.176453,-14.824918,-3.104798,1
2.833332,-0.729148,-0.24245,-0.397457,0.218242,-14.993064,-2.650177,1
2.866665,-0.720479,-0.251983,-0.395525,0.504373,-15.297382,-2.237427,1
2.899999,-0.71195,-0.259618,-0.393786,0.779352,-15.586184,-1.701905,1
2.933332,-0.703859,-0.266234,-0.392274,0.835155,-15.874875,-1.210083,1
2.966665,-0.697163,-0.273245,-0.390306,0.888349,-16.216583,-0.805878,1
2.999999,-0.692142,-0.280581,-0.387608,0.905225,-16.709654,-0.423218,1
3.033332,-0.686673,-0.286292,-0.386036,0.853426,-17.269981,-0.107788,1
3.066665,-0.681535,-0.291177,-0.384598,0.710218,-17.71792,0.171117,1
3.099998,-0.676704,-0.29563,-0.383713,0.575172,-18.032013,0.499864,1
3.133332,-0.672043,-0.299458,-0.383351,0.454845,-18.301422,0.90257,1
3.166665,-0.666321,-0.301504,-0.383029,0.325237,-18.413929,1.320733,1
3.199998,-0.660609,-0.303843,-0.382918,0.234994,-18.418486,1.828742,1
3.233332,-0.655088,-0.306118,-0.381789,0.066593,-18.65707,2.288009,1
3.266665,-0.649541,-0.307766,-0.380073,-0.030609,-18.919554,2.734916,1
3.299998,-0.643541,-0.308506,-0.378145,-0.142303,-19.202208,3.149918,1
3.333332,-0.6379,-0.308915,-0.375486,-0.254822,-19.647366,3.467794,1
3.366665,-0.632462,-0.309037,-0.372386,-0.356354,-20.096525,3.749784,1
3.399998,-0.626663,-0.308527,-0.369436,-0.42279,-20.360956,4.010374,1
3.433331,-0.62097,-0.3081,-0.366497,-0.458038,-20.720552,4.168865,1
3.466665,-0.615645,-0.30789,-0.36419,-0.522797,-21.029387,4.334581,1
3.499998,-0.610048,-0.306988,-0.361834,-0.582001,-21.394501,4.419954,1
3.533331,-0.605035,-0.306443,-0.360002,-0.646881,-21.712767,4.404493,1
3.566665,-0.599869,-0.305682,-0.359124,-0.898865,-21.818819,4.245893,1
3.599998,-0.595518,-0.30558,-0.358846,-1.203766,-21.949249,3.909606,1
3.633331,-0.591388,-0.305475,-0.35876,-1.513519,-22.020481,3.505931,1
3.666665,-0.588747,-0.305879,-0.358201,-1.809692,-22.043854,3.069028,1
3.699998,-0.586941,-0.306677,-0.357496,-2.074096,-21.999689,2.787586,1
3.733331,-0.585522,-0.308028,-0.35693,-2.273468,-22.094875,2.740875,1
3.766665,-0.58476,-0.309106,-0.357257,-2.744904,-22.400356,3.318967,1
3.799998,-0.584687,-0.310003,-0.357898,-3.831574,-22.961912,4.590478,1
3.833331,-0.58435,-0.310523,-0.359276,-4.925753,-23.403868,5.929122,1
3.866664,-0.583814,-0.311733,-0.361501,-5.810001,-23.54965,7.068594,1
