t,x,y,z,roll,pitch,yaw,valid
0.0,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.033333,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.066667,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.1,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.133333,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.166667,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.2,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.233333,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.266667,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.3,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.333333,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.366667,0.83012,-0.615168,-0.471314,-2.120667,3.154809,144.212189,1
0.4,0.830449,-0.615604,-0.471554,-2.127014,3.171243,144.226547,1
0.433333,0.831718,-0.615881,-0.471544,-2.127716,3.239688,144.270416,1
0.466667,0.832026,-0.616403,-0.471695,-2.138336,3.25843,144.280579,1
0.5,0.832521,-0.616904,-0.471835,-2.177704,3.301863,144.258102,1
0.533333,0.833415,-0.617296,-0.47207,-2.099975,3.394877,144.208023,1
0.566667,0.834281,-0.618102,-0.472036,-2.044555,3.415067,144.094055,1
0.6,0.835559,-0.619416,-0.47209,-1.998841,3.399003,143.976562,1
0.633333,0.837035,-0.620158,-0.472422,-1.966248,3.478786,143.881882,1
0.666667,0.837598,-0.62059,-0.472725,-1.917084,3.582209,143.826324,1
0.7,0.838644,-0.621516,-0.473239,-1.869416,3.743428,143.773285,1
0.733334,0.839629,-0.622413,-0.473124,-1.825318,3.832829,143.723175,1
0.766667,0.840332,-0.62319,-0.473297,-1.757782,3.829659,143.720047,1
0.8,0.841298,-0.623747,-0.473224,-1.764374,3.810105,143.74263,1
0.833334,0.842335,-0.624432,-0.473079,-1.774231,3.756371,143.789841,1
0.866667,0.84336,-0.625206,-0.472878,-1.775848,3.696109,143.861801,1
0.9,0.844016,-0.625844,-0.47259,-1.774414,3.625621,143.91394,1
0.933334,0.844427,-0.626802,-0.472388,-1.772766,3.525586,143.919739,1
0.966667,0.845322,-0.627385,-0.472392,-1.764679,3.464716,143.930847,1
1.0,0.846278,-0.627689,-0.472346,-1.779694,3.477447,143.898254,1
1.033334,0.846968,-0.627961,-0.472247,-1.818085,3.486996,143.853165,1
1.066667,0.847436,-0.62838,-0.472256,-1.869141,3.454921,143.791122,1
1.1,0.848301,-0.628674,-0.472149,-1.86554,3.47408,143.729233,1
1.133334,0.848726,-0.629115,-0.471984,-1.855438,3.453781,143.721481,1
1.166667,0.84908,-0.629208,-0.47183,-1.884704,3.379864,143.737778,1
1.2,0.849639,-0.629395,-0.47121,-1.924347,3.061919,143.820633,1
1.233333,0.849626,-0.629739,-0.470562,-1.96341,2.743496,143.930771,1
1.266667,0.84976,-0.629857,-0.469687,-2.009887,2.361633,144.050751,1
1.3,0.849712,-0.630074,-0.468768,-2.065094,1.965462,144.157349,1
1.333333,0.849236,-0.630366,-0.46776,-2.098694,1.524553,144.300064,1
1.366667,0.84888,-0.630635,-0.466665,-2.168793,0.991416,144.456299,1
1.4,0.848394,-0.630979,-0.465156,-2.2323,0.398139,144.622314,1
1.433333,0.847828,-0.631042,-0.463827,-2.337067,-0.244015,144.797852,1
1.466667,0.847255,-0.631111,-0.462009,-2.434937,-0.981744,145.001144,1
1.5,0.846469,-0.631213,-0.460069,-2.530335,-1.905391,145.176025,1
1.533333,0.845283,-0.631246,-0.457611,-2.647003,-3.057862,145.331726,1
1.566666,0.84368,-0.631078,-0.454836,-2.691498,-4.142427,145.51622,1
1.6,0.841556,-0.630419,-0.452109,-2.696625,-5.220607,145.704483,1
1.633333,0.839179,-0.63018,-0.448684,-2.712646,-6.59396,145.951385,1
1.666666,0.83683,-0.629908,-0.444786,-2.628296,-8.112269,146.318878,1
1.7,0.833837,-0.629818,-0.440899,-2.445649,-9.672695,146.84166,1
1.733333,0.830738,-0.629654,-0.43751,-2.275177,-11.045583,147.458618,1
1.766666,0.827739,-0.629594,-0.434632,-2.189666,-12.207364,148.036682,1
1.8,0.825383,-0.629432,-0.432027,-2.211975,-13.298549,148.60228,1
1.833333,0.823877,-0.629496,-0.430398,-2.113799,-13.892365,148.924896,1
1.866666,0.821644,-0.62915,-0.428384,-1.989533,-14.666075,149.261078,1
1.899999,0.819975,-0.628912,-0.426571,-2.012268,-15.397855,149.470535,1
1.933333,0.818703,-0.628298,-0.42554,-2.078674,-15.853025,149.544724,1
1.966666,0.817578,-0.627094,-0.424836,-2.167694,-16.138418,149.472839,1
1.999999,0.816557,-0.626146,-0.424065,-2.227813,-16.444178,149.305145,1
2.033333,0.816017,-0.62547,-0.423224,-2.194793,-16.723383,149.062439,1
2.066666,0.815583,-0.624464,-0.423102,-2.137543,-16.8731,148.795944,1
2.099999,0.814902,-0.623981,-0.423075,-2.071747,-16.917421,148.519699,1
2.133333,0.814189,-0.623258,-0.423116,-2.083894,-16.917995,148.305969,1
2.166666,0.813594,-0.622577,-0.423398,-2.088256,-16.8316,148.158752,1
2.199999,0.812607,-0.622301,-0.423727,-2.05069,-16.682524,148.094986,1
2.233333,0.811665,-0.62269,-0.423937,-1.981324,-16.609463,148.095596,1
2.266666,0.811171,-0.622574,-0.424218,-1.9057,-16.487823,148.11937,1
2.299999,0.810587,-0.622852,-0.424354,-1.841797,-16.368008,148.09613,1
2.333333,0.810469,-0.622381,-0.424374,-1.763855,-16.335352,148.077667,1
2.366666,0.810291,-0.622543,-0.424474,-1.719818,-16.336542,148.051422,1
2.399999,0.810518,-0.622165,-0.424554,-1.681549,-16.354273,148.004883,1
2.433332,0.810738,-0.621898,-0.424605,-1.619324,-16.403683,147.929504,1
2.466666,0.811283,-0.621417,-0.424666,-1.575287,-16.380302,147.860901,1
2.499999,0.811607,-0.620943,-0.424905,-1.559509,-16.289392,147.82695,1
2.533332,0.811783,-0.62077,-0.425225,-1.527344,-16.161402,147.819443,1
2.566666,0.812095,-0.621116,-0.425463,-1.458283,-15.983209,147.846313,1
2.599999,0.812775,-0.621478,-0.426236,-1.413147,-15.698267,148.001068,1
2.633332,0.812954,-0.621839,-0.426814,-1.383392,-15.426084,148.194901,1
2.666666,0.813685,-0.622,-0.427438,-1.334564,-15.177793,148.427124,1
2.699999,0.814163,-0.622201,-0.428009,-1.263335,-14.884757,148.653107,1
2.733332,0.814882,-0.622525,-0.428564,-1.260589,-14.699584,148.888885,1
2.766665,0.815914,-0.622513,-0.428898,-1.307586,-14.555747,149.08905,1
2.799999,0.816944,-0.622383,-0.429654,-1.343231,-14.342467,149.27948,1
2.833332,0.818256,-0.622278,-0.430213,-1.362305,-14.080284,149.470779,1
2.866665,0.819624,-0.622207,-0.430963,-1.384796,-13.80056,149.652267,1
2.899999,0.820853,-0.621899,-0.43176,-1.437164,-13.527742,149.812042,1
2.933332,0.822349,-0.621373,-0.432464,-1.38736,-13.263366,149.979095,1
2.966665,0.823846,-0.620738,-0.433163,-1.386383,-13.031399,150.145233,1
2.999999,0.825189,-0.62052,-0.433514,-1.382538,-12.85363,150.261032,1
3.033332,0.826687,-0.619622,-0.433684,-1.385101,-12.719717,150.397675,1
