t,x,y,z,roll,pitch,yaw,valid
2.299999,0.821948,-0.552138,-0.531093,-3.949464,-17.298,145.52063,1
2.333333,0.820693,-0.550444,-0.525875,-4.271242,-19.496119,145.637863,1
2.366666,0.81949,-0.548658,-0.519555,-4.555271,-22.116602,145.943451,1
2.399999,0.819069,-0.547051,-0.512421,-4.803867,-25.034302,146.234253,1
2.433332,0.81899,-0.545646,-0.506644,-4.97394,-27.514923,146.566406,1
2.466666,0.818423,-0.543367,-0.503928,-4.779299,-28.481163,146.680862,1
2.499999,0.817243,-0.54088,-0.503104,-4.599457,-28.341118,146.691467,1
2.533332,0.816674,-0.538918,-0.502996,-4.832522,-28.050226,146.969147,1
2.566666,0.816277,-0.537772,-0.503319,-5.099184,-27.861261,147.510361,1
2.599999,0.816046,-0.536451,-0.50351,-5.39429,-27.59845,148.134842,1
2.633332,0.815527,-0.535048,-0.504019,-5.717382,-27.081242,148.792511,1
2.666666,0.81491,-0.533855,-0.504851,-6.050175,-26.474119,149.405579,1
2.699999,0.814459,-0.532902,-0.505673,-6.283146,-25.779345,150.100632,1
2.733332,0.813949,-0.532291,-0.507334,-6.232243,-24.875664,150.962448,1
2.766665,0.813416,-0.531831,-0.50917,-6.263586,-23.978239,151.795929,1
2.799999,0.813065,-0.531152,-0.511622,-6.408147,-22.767056,152.471817,1
2.833332,0.813333,-0.530501,-0.514101,-6.507024,-21.651972,153.125259,1
2.866665,0.814059,-0.52972,-0.516571,-6.564154,-20.480341,153.642258,1
2.899999,0.814942,-0.529097,-0.518757,-6.579564,-19.375689,154.052826,1
2.933332,0.815781,-0.528704,-0.520396,-6.653537,-18.640617,154.422668,1
2.966665,0.816263,-0.528283,-0.521999,-6.645208,-17.815155,154.608124,1
2.999999,0.81636,-0.527533,-0.523606,-6.499363,-17.012108,154.709534,1
3.033332,0.816402,-0.526648,-0.525101,-6.360053,-16.105865,154.63942,1
3.066665,0.81659,-0.526108,-0.525901,-6.318454,-15.476955,154.3983,1
3.099998,0.816284,-0.525799,-0.527122,-6.198095,-14.937554,153.92601,1
3.133332,0.816185,-0.525414,-0.529235,-5.961002,-14.001614,153.228439,1
3.166665,0.815483,-0.525469,-0.531312,-5.745823,-13.150934,152.358856,1
3.199998,0.814704,-0.52559,-0.533271,-5.592684,-12.557678,151.339523,1
3.233332,0.813902,-0.5261,-0.535153,-5.456363,-12.077209,150.315247,1
3.266665,0.812188,-0.526625,-0.537277,-5.305545,-11.400725,149.266678,1
3.299998,0.809964,-0.527257,-0.538712,-5.230319,-10.807162,148.197556,1
3.333332,0.807074,-0.5283,-0.53982,-5.013521,-10.407712,147.337158,1
3.366665,0.803277,-0.52999,-0.540444,-4.614413,-10.307704,146.955414,1
3.399998,0.798567,-0.531794,-0.541588,-4.299227,-10.148588,146.914444,1
3.433331,0.79335,-0.533528,-0.542536,-4.225162,-9.977875,146.921951,1
3.466665,0.787942,-0.534747,-0.543604,-4.470186,-9.831968,146.68985,1
