X,Y,Z,Yaw,Pitch,Roll
0.435879,0.696037,-0.368444,-100.082268,-15.64105,-2.267883
0.443434,0.695864,-0.368906,-100.983543,-15.521358,-2.150117
0.451534,0.696121,-0.369284,-101.910973,-15.348445,-2.14798
0.459906,0.696441,-0.369953,-102.922653,-15.066959,-2.199493
0.469349,0.697477,-0.370452,-103.97596,-14.778685,-2.327484
0.479408,0.698571,-0.370675,-105.076843,-14.596312,-2.469025
0.490167,0.699641,-0.370729,-106.170876,-14.547148,-2.557436
0.50157,0.701115,-0.370631,-107.211487,-14.461184,-2.610933
0.514069,0.702991,-0.37029,-108.200661,-14.413939,-2.642945
0.527314,0.705215,-0.370039,-109.083672,-14.368798,-2.72525
0.540687,0.707008,-0.370086,-109.859673,-14.245943,-2.915223
0.544988,0.697947,-0.371,-110.482567,-14.056242,-3.176148
0.558472,0.698354,-0.37115,-111.029625,-14.026462,-3.65918
0.571096,0.697828,-0.370919,-111.581848,-14.218042,-4.320193
0.584478,0.698636,-0.371025,-112.229065,-14.568813,-4.795901
0.598005,0.699618,-0.370973,-112.858337,-14.68005,-4.957766
0.610641,0.699545,-0.371088,-113.355659,-14.638638,-4.896945
0.62307,0.699933,-0.371211,-113.732399,-14.730675,-4.797944
0.636334,0.701689,-0.371489,-113.984047,-14.818778,-4.718018
0.648738,0.703108,-0.372113,-114.219009,-14.917938,-4.762516
0.659844,0.703643,-0.372869,-114.448944,-15.036469,-4.775545
0.671025,0.704682,-0.373615,-114.733429,-15.147699,-4.769197
0.681276,0.705425,-0.373953,-115.118568,-15.287868,-4.666752
0.691034,0.706268,-0.374288,-115.492943,-15.262446,-4.475222
0.700262,0.707427,-0.37465,-115.898331,-15.123254,-4.250459
0.708902,0.70861,-0.375285,-116.349152,-14.89962,-4.052887
0.717172,0.709999,-0.376009,-116.826187,-14.741023,-3.854279
0.724869,0.711676,-0.376846,-117.330597,-14.586511,-3.6604
0.731418,0.713215,-0.377784,-117.844536,-14.410093,-3.472474
0.737567,0.714736,-0.378925,-118.353119,-14.100488,-3.300202
