X,Y,Z,Yaw,Pitch,Roll
0.631242,0.140749,-0.345208,-159.981796,-6.321497,1.713668
0.636707,0.128024,-0.334047,-160.692566,-2.815643,2.352385
0.641816,0.118049,-0.320833,-161.597916,-1.552276,2.987118
0.645142,0.108974,-0.306623,-162.262985,-0.027437,3.26052
0.647315,0.101196,-0.292488,-162.744965,1.863282,3.309214
0.648015,0.094991,-0.277077,-163.078262,3.863032,3.582832
0.648022,0.090032,-0.258737,-163.514587,5.72055,3.920167
0.647546,0.085984,-0.238148,-163.845062,7.690478,4.315371
0.647062,0.083146,-0.216382,-164.04834,10.717195,5.175147
0.646448,0.08075,-0.191446,-164.258163,13.780985,6.139313
0.646412,0.079908,-0.164283,-164.800751,16.270992,7.1651
0.646425,0.079925,-0.135175,-165.516052,18.301348,7.807431
0.646628,0.080321,-0.104808,-166.411346,19.962101,7.951609
0.647655,0.081612,-0.074421,-167.254303,21.4298,8.200933
0.648541,0.083178,-0.042597,-168.085541,22.833635,9.04409
0.649554,0.084502,-0.012493,-169.013855,24.421619,10.22168
0.650659,0.085293,0.016758,-170.057938,25.87018,11.563157
0.652081,0.085732,0.045512,-171.408554,26.822916,12.776354
0.65315,0.085164,0.073032,-172.720154,27.739119,14.491067
0.653616,0.082319,0.097224,-173.467377,28.592979,16.426762
0.65348,0.078877,0.120314,-174.457016,29.445339,18.302343
0.653206,0.07507,0.141821,-175.947464,30.491056,20.204691
0.64252,0.062044,0.160924,-178.399857,31.313089,22.31744
0.6428,0.056087,0.177511,-179.486893,32.633564,24.857212
0.642145,0.049463,0.191538,179.33783,34.092747,27.623743
0.640244,0.040987,0.202758,178.377899,35.251991,30.018663
0.636585,0.030806,0.211197,177.706238,36.568336,32.50539
0.631834,0.019531,0.218697,177.42543,37.404598,35.216087
0.624807,0.005788,0.225636,177.439835,37.729733,37.998104
0.617215,-0.008738,0.232437,178.11525,37.734688,41.483177
