X,Y,Z,Yaw,Pitch,Roll
-0.857488,-0.51188,-0.359936,39.673962,-3.315333,1.005935
-0.857557,-0.504589,-0.362029,39.599682,-2.983392,0.919752
-0.858178,-0.496596,-0.363987,39.523342,-2.337031,0.983822
-0.859242,-0.488641,-0.365935,39.405304,-1.55035,1.187887
-0.860135,-0.480336,-0.367526,39.128296,-1.085262,1.435413
-0.861492,-0.472353,-0.368905,38.651161,-1.206601,1.60715
-0.864287,-0.465558,-0.369727,37.891853,-1.482629,1.762356
-0.867244,-0.458268,-0.370464,36.968426,-1.52359,1.833841
-0.871039,-0.451585,-0.37082,35.797005,-1.42281,1.672197
-0.875838,-0.445351,-0.370362,34.413643,-1.472015,1.484214
-0.881273,-0.4393,-0.369641,32.878311,-1.586701,1.304281
-0.887298,-0.4326,-0.368787,31.297213,-1.65643,1.071605
-0.893376,-0.42521,-0.367507,29.677,-1.845401,0.864218
-0.900596,-0.417619,-0.365837,28.194187,-2.132447,0.633998
-0.90809,-0.409625,-0.364639,26.918962,-2.522648,0.259894
-0.916151,-0.401258,-0.364491,25.74724,-3.003999,-0.131744
-0.923947,-0.392419,-0.364789,24.706957,-3.366422,-0.370911
-0.932027,-0.383853,-0.364982,23.809927,-3.478055,-0.539581
-0.939114,-0.374883,-0.364829,23.010279,-3.590603,-0.527405
-0.946421,-0.366554,-0.364042,22.361641,-4.027428,-0.244354
-0.953737,-0.358972,-0.362957,21.817169,-4.672423,-0.051788
-0.961018,-0.352131,-0.362096,21.232389,-5.378692,-0.112152
-0.967899,-0.345987,-0.361316,20.567539,-5.812832,-0.304535
-0.974502,-0.340034,-0.360738,19.817364,-5.879515,-0.452637
-0.980514,-0.333791,-0.360289,19.092075,-5.877931,-0.397308
-0.986433,-0.327588,-0.359849,18.441906,-5.894412,-0.163483
-0.991709,-0.320983,-0.359872,17.936758,-5.822845,0.114177
-0.996486,-0.314126,-0.360083,17.580254,-5.638027,0.44904
-1.000376,-0.307392,-0.360604,17.389462,-5.419345,0.711674
-1.003537,-0.300258,-0.361473,17.352644,-5.146301,0.922623
