X,Y,Z,Yaw,Pitch,Roll
0.8997,0.738155,-0.45482,-142.122253,4.437014,1.188208
0.899112,0.73771,-0.454558,-142.143494,4.332648,1.17983
0.898367,0.737289,-0.454324,-142.164474,4.163218,1.202082
0.89719,0.736649,-0.453686,-142.191254,3.917339,1.238685
0.895875,0.735972,-0.452589,-142.219925,3.612992,1.258361
0.893878,0.735313,-0.451547,-142.28215,3.165349,1.306213
0.891491,0.73484,-0.451118,-142.276749,2.707466,1.499564
0.888475,0.733746,-0.450223,-142.190598,2.212209,1.766576
0.885193,0.732876,-0.448927,-142.012039,1.592424,1.997108
0.881169,0.731986,-0.447414,-141.729553,1.056453,2.282417
0.876433,0.731054,-0.446419,-141.361115,0.586235,2.630562
0.871001,0.730026,-0.445198,-140.999908,0.164812,2.90431
0.865085,0.729323,-0.443429,-140.619919,-0.450683,3.173645
0.858506,0.728221,-0.441544,-140.204605,-1.105377,3.309252
0.851178,0.726672,-0.439347,-139.862015,-1.768493,3.443534
0.843573,0.724339,-0.436794,-139.506561,-2.463376,3.532063
0.835494,0.721854,-0.433769,-139.279678,-3.249667,3.556462
0.827072,0.718405,-0.430758,-139.140869,-4.002983,3.712841
0.818699,0.714247,-0.42776,-139.143753,-4.712673,3.755795
0.810394,0.709463,-0.424783,-139.345932,-5.823241,3.638331
0.801721,0.702983,-0.422218,-139.4888,-6.875609,3.598397
0.793546,0.695561,-0.419774,-139.520355,-7.723359,3.633312
0.785511,0.687259,-0.417082,-139.496033,-8.269774,3.731333
0.777571,0.677726,-0.414615,-139.468597,-8.493777,3.726939
0.769693,0.66719,-0.411797,-139.489838,-8.666287,3.675634
0.762038,0.656134,-0.409274,-139.598328,-8.834931,3.612595
0.754668,0.644407,-0.406907,-139.821793,-8.897762,3.463046
0.746958,0.631243,-0.405053,-140.236404,-8.965395,3.282987
0.739629,0.618134,-0.405054,-140.780884,-8.990502,3.161702
0.731205,0.603722,-0.405461,-141.260468,-8.587371,3.339793
