X,Y,Z,Yaw,Pitch,Roll
0.089691,0.841606,-0.230616,-88.890129,-7.918149,-4.181856
0.089008,0.839876,-0.23237,-88.355118,-7.057921,-4.409822
0.088498,0.838602,-0.238751,-87.710426,-3.808076,-4.44098
0.088036,0.83937,-0.242734,-87.02195,-1.861506,-4.214082
0.087366,0.840297,-0.243625,-86.493744,-1.496761,-4.099123
0.086372,0.84022,-0.242635,-85.979156,-1.940457,-4.025117
0.085392,0.840146,-0.240704,-85.646088,-2.584591,-4.134217
0.08463,0.840126,-0.239992,-85.432686,-2.850736,-4.234834
0.083442,0.839517,-0.239883,-85.183739,-2.974848,-4.190553
0.082382,0.839393,-0.239924,-85.001709,-3.00973,-4.169617
0.081771,0.839699,-0.240007,-84.93338,-2.962984,-4.085969
0.08131,0.84027,-0.240024,-84.87085,-2.890898,-3.987307
0.080854,0.84025,-0.239865,-84.838081,-2.914448,-4.012147
0.080443,0.840179,-0.239871,-84.891129,-2.834344,-4.055116
0.079906,0.839444,-0.240014,-84.97303,-2.79632,-4.070773
0.079918,0.838965,-0.240081,-84.986771,-2.838169,-4.037172
0.080204,0.838445,-0.239814,-84.964935,-2.866733,-4.035341
0.080755,0.837798,-0.239957,-84.962173,-2.844903,-4.001954
0.081413,0.837139,-0.240151,-84.947746,-2.854978,-3.887299
0.082405,0.836674,-0.240228,-84.911514,-2.882777,-3.833192
0.083019,0.835869,-0.240363,-84.920486,-2.851624,-3.807191
0.083938,0.835346,-0.240813,-84.88279,-2.684503,-3.712433
0.085183,0.834955,-0.241579,-84.711761,-2.298372,-3.664948
0.086475,0.835005,-0.242554,-84.499756,-1.857203,-3.622956
0.087242,0.834675,-0.242991,-84.170525,-1.675712,-3.48285
0.088747,0.835283,-0.242925,-83.745399,-1.737245,-3.350739
0.090146,0.835732,-0.242565,-83.239189,-1.952143,-3.255371
0.091522,0.836052,-0.241637,-82.632439,-2.402888,-3.112641
0.092751,0.836055,-0.240112,-81.912804,-3.061735,-2.891602
0.093454,0.83567,-0.238902,-81.109573,-3.683815,-2.697083
