X,Y,Z,Yaw,Pitch,Roll
-1.379928,0.219302,-0.304221,12.548005,-36.782925,-4.263214
-1.38564,0.241742,-0.302191,16.694466,-37.188656,-4.362306
-1.392079,0.26273,-0.300309,20.405315,-37.433563,-4.372071
-1.400049,0.281465,-0.298889,23.640587,-37.721832,-4.390932
-1.406845,0.299393,-0.298151,26.244778,-37.772793,-4.346985
-1.412537,0.316143,-0.297934,28.3843,-37.699093,-4.072634
-1.417448,0.331032,-0.298089,29.935532,-37.723747,-3.691193
-1.420234,0.345785,-0.298134,31.08198,-37.644562,-3.109682
-1.420018,0.360835,-0.298085,31.966568,-37.731838,-2.54062
-1.421347,0.37374,-0.298386,32.702641,-37.715443,-2.117644
-1.420589,0.386692,-0.298846,33.341774,-37.426628,-1.859651
-1.419858,0.398665,-0.29889,33.991554,-37.162743,-1.724459
-1.417727,0.410202,-0.29865,34.524178,-36.862854,-1.843048
-1.415766,0.420558,-0.297874,34.944622,-36.513763,-1.983034
-1.413499,0.43014,-0.296304,35.371521,-36.513027,-2.092561
-1.410532,0.439279,-0.295341,35.722054,-36.750877,-2.142824
-1.406383,0.448339,-0.294972,36.105831,-36.630096,-2.228395
-1.4003,0.457399,-0.294765,36.475243,-36.158127,-2.276063
-1.394588,0.465039,-0.294247,36.893383,-36.050377,-2.501158
-1.387577,0.473056,-0.295012,37.345062,-35.926571,-3.004699
-1.380015,0.481216,-0.297482,37.786289,-35.451962,-3.53943
-1.373326,0.489792,-0.300842,38.292011,-34.961792,-3.839388
-1.366405,0.499186,-0.304806,39.046082,-34.080837,-3.763063
-1.359583,0.509091,-0.309397,39.995152,-32.835869,-3.359865
-1.353356,0.519183,-0.314039,41.184235,-31.213076,-3.111114
-1.34799,0.529961,-0.317476,42.482693,-29.43713,-3.000033
-1.342988,0.541703,-0.321463,43.921139,-27.571409,-3.208069
-1.338372,0.554067,-0.325158,45.266872,-25.959785,-3.410799
-1.334405,0.566688,-0.328728,46.504131,-24.708036,-3.521395
-1.331412,0.579206,-0.333108,47.401089,-23.319275,-3.642457
