X,Y,Z,Yaw,Pitch,Roll
-0.37223,-0.680405,-0.379519,52.59026,-6.663908,-2.563843
-0.364068,-0.679886,-0.379555,53.168518,-6.451632,-2.389252
-0.355631,-0.678802,-0.379791,53.776833,-6.275325,-2.38269
-0.347668,-0.678637,-0.380034,54.582634,-6.34918,-2.498261
-0.338722,-0.677959,-0.380485,55.536587,-6.538908,-2.501252
-0.32949,-0.676943,-0.381198,56.529648,-6.570184,-2.529083
-0.320327,-0.676489,-0.381807,57.554066,-6.491876,-2.697907
-0.311551,-0.676692,-0.38186,58.625435,-6.391998,-2.955506
-0.30171,-0.676524,-0.381548,59.714668,-6.25228,-3.194307
-0.291816,-0.676203,-0.380979,60.878811,-6.107691,-3.464509
-0.281769,-0.676337,-0.379882,62.174538,-5.961088,-3.649019
-0.271289,-0.676484,-0.378516,63.591877,-5.863396,-3.81833
-0.260752,-0.677275,-0.376733,65.157455,-5.969271,-3.967195
-0.249634,-0.678686,-0.374813,66.748772,-6.146521,-4.177918
-0.237806,-0.680185,-0.374123,68.352486,-6.422235,-4.342379
-0.225965,-0.682054,-0.374202,69.900246,-6.478175,-4.672396
-0.21392,-0.684164,-0.37516,71.414429,-6.477444,-4.996554
-0.201924,-0.686153,-0.376114,72.823212,-6.412406,-5.344729
-0.190312,-0.688062,-0.37649,74.148239,-6.224085,-5.75571
-0.179048,-0.689858,-0.376378,75.518158,-6.091367,-6.110326
-0.168286,-0.691678,-0.375853,76.819115,-6.116086,-6.444645
-0.157265,-0.693086,-0.375048,78.056358,-6.314421,-6.860725
-0.147399,-0.694821,-0.374112,79.214424,-6.49747,-7.371711
-0.137489,-0.696121,-0.373407,80.253624,-6.486541,-7.743324
-0.128491,-0.697258,-0.372444,81.142311,-6.346653,-8.078349
-0.119699,-0.698022,-0.371252,81.954559,-6.216216,-8.400554
-0.112034,-0.698719,-0.370063,82.722054,-6.15094,-8.695443
-0.105156,-0.699069,-0.368904,83.463066,-6.236482,-8.947398
-0.099071,-0.699013,-0.367506,84.182152,-6.397797,-9.190107
-0.093796,-0.698807,-0.366168,84.971245,-6.514217,-9.328168
