X,Y,Z,Yaw,Pitch,Roll
-0.58367,-0.403942,-0.38492,9.081974,-22.536406,-4.511507
-0.581876,-0.407324,-0.384693,9.565497,-22.700924,-4.668185
-0.579575,-0.410542,-0.384375,10.022074,-22.886078,-4.775241
-0.577866,-0.414712,-0.384606,10.450418,-22.969351,-4.952578
-0.576178,-0.41963,-0.384946,10.933685,-22.964045,-5.163546
-0.574775,-0.42476,-0.38508,11.569222,-22.903173,-5.427921
-0.573115,-0.429897,-0.385433,12.348452,-22.858845,-5.819676
-0.57187,-0.436003,-0.385902,13.209273,-22.746147,-6.227483
-0.570936,-0.442637,-0.386367,14.179251,-22.626066,-6.575964
-0.569372,-0.449112,-0.386817,15.253696,-22.592434,-6.909185
-0.568354,-0.45656,-0.387476,16.440161,-22.436884,-7.310614
-0.567312,-0.464593,-0.388146,17.768723,-22.251587,-7.679512
-0.565227,-0.472255,-0.389027,19.185173,-22.148308,-7.896767
-0.563692,-0.481129,-0.390043,20.690311,-22.161619,-8.149912
-0.561873,-0.490542,-0.391441,22.141214,-22.063709,-8.562753
-0.558525,-0.49937,-0.392939,23.458189,-21.728266,-8.914136
-0.555327,-0.508333,-0.393997,24.750647,-21.356594,-9.334148
-0.551918,-0.516902,-0.394227,26.015614,-21.081324,-9.684034
-0.548734,-0.52521,-0.393551,27.368155,-21.047398,-10.064835
-0.545582,-0.533092,-0.39276,28.578766,-21.135643,-10.423963
-0.542604,-0.541192,-0.391881,29.5445,-21.132658,-10.696336
-0.539564,-0.549024,-0.391142,30.287321,-21.031435,-11.034625
-0.536778,-0.557296,-0.389639,30.818111,-20.932951,-11.537218
-0.533644,-0.564841,-0.387241,31.271254,-20.763336,-12.248708
-0.531163,-0.571808,-0.384143,31.744017,-20.533474,-12.887682
-0.528961,-0.57723,-0.38061,32.232594,-20.588163,-13.233906
-0.527316,-0.582423,-0.377675,32.531219,-20.811428,-13.330556
-0.526217,-0.586562,-0.375684,32.743889,-20.993521,-13.156513
-0.52549,-0.590361,-0.374476,33.001564,-21.054501,-12.891072
-0.525362,-0.59375,-0.373539,33.354397,-21.115051,-12.718373
