X,Y,Z,Yaw,Pitch,Roll
-0.332407,-0.67706,-0.514024,86.242493,-12.782254,5.067209
-0.355198,-0.683593,-0.512612,84.873787,-12.97238,5.518723
-0.376974,-0.688705,-0.51209,84.096573,-13.001278,6.624138
-0.397739,-0.691382,-0.513925,83.925285,-12.926296,7.704916
-0.416918,-0.692488,-0.51643,84.250908,-12.798517,8.408097
-0.43481,-0.692955,-0.518892,84.771263,-13.020935,8.243644
-0.450373,-0.693035,-0.520567,85.034706,-13.509546,7.639032
-0.464163,-0.692662,-0.521421,84.808052,-13.901305,6.873172
-0.476488,-0.69074,-0.521695,84.121483,-13.990419,5.966014
-0.487532,-0.688075,-0.521959,82.898331,-13.805082,5.465603
-0.49717,-0.684345,-0.52187,81.016487,-13.43145,5.297709
-0.505515,-0.679418,-0.521486,78.796143,-13.068972,5.467954
-0.51403,-0.673855,-0.520917,76.551086,-12.775117,5.823981
-0.52232,-0.66725,-0.519826,74.752472,-12.583742,6.177224
-0.530818,-0.659645,-0.51869,73.47921,-12.330929,6.315066
-0.539166,-0.650777,-0.51724,72.580727,-11.980499,6.047497
-0.547385,-0.640807,-0.515518,72.011856,-11.623322,5.516881
-0.55541,-0.629521,-0.513717,71.667152,-11.263822,4.884435
-0.563399,-0.617461,-0.511512,71.430779,-10.874787,4.370048
-0.570195,-0.60431,-0.509562,71.128975,-10.610835,3.947909
-0.57644,-0.591038,-0.507566,70.824989,-10.651461,3.838051
-0.582107,-0.577451,-0.505754,70.601372,-11.03363,3.992623
-0.587954,-0.563097,-0.507642,70.097992,-12.388576,3.494987
-0.593008,-0.549407,-0.510634,69.542839,-13.176452,3.225082
-0.59797,-0.537788,-0.51007,69.241638,-13.604978,3.249958
-0.603132,-0.527092,-0.509286,68.660278,-14.300926,2.569853
-0.607736,-0.516459,-0.509769,67.827187,-14.772086,2.023525
-0.612073,-0.505606,-0.511027,67.041359,-14.696804,1.649625
-0.61672,-0.495567,-0.512031,65.953812,-14.503537,1.368995
-0.620586,-0.48618,-0.51315,64.414101,-14.713231,1.608182
