X,Y,Z,Yaw,Pitch,Roll
0.279129,-0.908732,-0.364638,-114.438995,-4.237825,5.166438
0.277102,-0.908404,-0.366048,-114.446655,-3.884765,4.823874
0.274691,-0.908374,-0.367936,-114.462227,-3.258294,4.39593
0.272012,-0.907995,-0.370262,-114.538536,-2.335262,3.890408
0.268715,-0.907592,-0.37291,-114.871811,-1.297394,3.235651
0.265145,-0.906772,-0.375702,-115.471443,-0.212979,2.718771
0.262023,-0.905727,-0.378467,-116.314209,0.952244,2.209135
0.258794,-0.904519,-0.380535,-117.272453,1.969328,1.565885
0.255492,-0.903003,-0.38211,-118.394577,2.79716,1.032436
0.252129,-0.901215,-0.383853,-119.764725,3.736339,0.811929
0.249121,-0.899477,-0.385334,-121.238144,4.685448,0.788712
0.246143,-0.897898,-0.386545,-122.638184,5.472559,0.753038
0.243683,-0.896779,-0.387284,-123.779198,5.988525,0.692273
0.241758,-0.89611,-0.387237,-124.455902,6.055871,0.579416
0.239731,-0.896275,-0.387103,-124.88739,5.997446,0.438145
0.237698,-0.896818,-0.386592,-125.234245,5.80607,0.302763
0.23533,-0.897938,-0.386107,-125.512749,5.628185,0.227206
0.232787,-0.899682,-0.385594,-125.749405,5.243304,0.255173
0.230124,-0.901718,-0.385461,-125.8722,4.767499,0.387567
0.227106,-0.904429,-0.385949,-125.961266,4.640731,0.302936
0.22331,-0.907734,-0.386166,-126.084221,4.68497,0.126897
0.218927,-0.911655,-0.38545,-126.010483,4.487666,0.075857
0.213781,-0.915825,-0.383765,-125.794617,4.033677,0.147997
0.204971,-0.921724,-0.380833,-125.263802,3.012755,0.291975
0.200083,-0.924722,-0.379765,-124.804649,2.545823,0.554046
0.191663,-0.929077,-0.37814,-123.935112,1.950661,1.073626
0.182274,-0.93333,-0.376172,-122.962456,1.522005,1.431413
0.17245,-0.936827,-0.373444,-122.063126,1.041781,1.679378
0.161395,-0.93971,-0.370926,-121.294464,0.366248,2.113581
0.153584,-0.942646,-0.368798,-120.651527,-0.23599,2.523085
