X,Y,Z,Yaw,Pitch,Roll
0.642666,-0.513837,-0.416587,123.789574,-18.703945,-4.437379
0.64734,-0.50735,-0.41739,123.584236,-18.51309,-4.625154
0.651687,-0.501441,-0.418068,123.55471,-18.489006,-4.691835
0.65604,-0.495682,-0.418194,123.858742,-18.717197,-4.735264
0.66023,-0.489818,-0.418241,124.323219,-19.213957,-4.688968
0.664524,-0.48449,-0.417701,124.833199,-19.837826,-4.669192
0.668648,-0.479158,-0.417314,125.437363,-20.401911,-4.84656
0.672162,-0.473837,-0.417202,126.027954,-20.816004,-4.936587
0.675629,-0.468459,-0.416941,126.642029,-21.181393,-4.851991
0.679121,-0.463201,-0.416481,127.180298,-21.572899,-4.671357
0.68257,-0.457824,-0.415637,127.707535,-22.137085,-4.342103
0.685397,-0.452503,-0.41516,128.420074,-22.707243,-4.064514
0.687463,-0.447537,-0.414254,129.266586,-23.26016,-3.762605
0.689778,-0.44224,-0.413229,130.226257,-23.669302,-3.502289
0.692281,-0.436966,-0.411962,131.215164,-24.073267,-3.580721
0.694704,-0.431764,-0.410772,132.388382,-24.582115,-3.730408
0.69742,-0.427355,-0.408955,133.682388,-25.185024,-4.026095
0.699913,-0.423551,-0.406704,135.029221,-25.936098,-4.236237
0.702409,-0.420072,-0.40426,136.278748,-26.600737,-4.386108
0.705566,-0.416375,-0.40202,137.297562,-27.206144,-4.481081
0.708974,-0.413004,-0.399302,138.117966,-27.95138,-4.529238
0.71288,-0.409749,-0.396735,138.711578,-28.740566,-4.649416
0.717189,-0.406229,-0.394864,138.935883,-29.403778,-4.689973
0.721855,-0.402338,-0.39316,138.874207,-29.943842,-4.737614
0.726694,-0.398161,-0.391777,138.446167,-30.320793,-4.88129
0.731342,-0.393535,-0.391133,137.767395,-30.439138,-5.286073
0.73591,-0.388856,-0.391423,136.999878,-30.231291,-5.450474
0.740751,-0.383985,-0.391857,136.085495,-29.960199,-5.550845
0.745346,-0.380203,-0.391772,134.931534,-29.969297,-5.620366
0.749956,-0.376455,-0.391564,133.805862,-30.111044,-5.538762
