X,Y,Z,Yaw,Pitch,Roll
-0.451543,0.813944,-0.34974,-67.336098,-27.425318,-7.100409
-0.452059,0.812516,-0.34941,-67.14106,-27.526125,-7.17609
-0.45331,0.810471,-0.349016,-66.886703,-27.688198,-7.274056
-0.455552,0.807747,-0.349185,-66.657494,-27.678282,-7.276649
-0.457418,0.805773,-0.349648,-66.547287,-27.516966,-7.234931
-0.459514,0.803788,-0.350127,-66.443871,-27.298489,-7.229318
-0.460729,0.802954,-0.350525,-66.351639,-27.227106,-7.252082
-0.462609,0.801509,-0.35137,-66.234749,-27.020227,-7.285407
-0.464296,0.800775,-0.352867,-66.153069,-26.628878,-7.251869
-0.465912,0.800687,-0.354979,-66.112762,-26.204102,-7.21949
-0.467516,0.801925,-0.358028,-66.12645,-25.589043,-7.063209
-0.46922,0.803998,-0.361788,-66.228554,-24.947721,-6.879158
-0.471159,0.806931,-0.366479,-66.401894,-24.19104,-6.527593
-0.473026,0.810639,-0.372107,-66.652946,-23.04505,-6.149385
-0.474854,0.814565,-0.378061,-66.918007,-21.663357,-5.821689
-0.476533,0.818947,-0.384002,-67.225075,-20.178064,-5.51041
-0.478198,0.823574,-0.389455,-67.48494,-18.81674,-5.221286
-0.479726,0.828128,-0.394469,-67.703476,-17.519161,-4.896822
-0.480705,0.832996,-0.398687,-67.906013,-16.309624,-4.56476
-0.481753,0.837178,-0.402021,-68.068336,-15.358274,-4.272646
-0.482487,0.841365,-0.404535,-68.170349,-14.648187,-3.978364
-0.483037,0.845065,-0.406241,-68.210579,-14.186705,-3.751253
-0.483112,0.849416,-0.407059,-68.151443,-13.968685,-3.577515
-0.483287,0.851084,-0.406982,-68.084808,-14.001156,-3.537538
-0.482961,0.854245,-0.40596,-67.92907,-14.320768,-3.53238
-0.482852,0.855848,-0.404951,-67.804459,-14.673158,-3.518922
-0.482555,0.856793,-0.404186,-67.708183,-14.935308,-3.503662
-0.482027,0.858653,-0.402558,-67.558395,-15.584769,-3.494965
-0.481853,0.859325,-0.402093,-67.48262,-15.79962,-3.444947
-0.481874,0.86,-0.401832,-67.40052,-15.936456,-3.336792
