X,Y,Z,Yaw,Pitch,Roll
0.768887,-0.292055,-0.367524,-126.00338,1.849574,-3.131592
0.762074,-0.309254,-0.367621,-126.689102,1.912453,-3.288484
0.754818,-0.326129,-0.367105,-127.596313,1.538247,-3.38031
0.74733,-0.342781,-0.365539,-128.909973,0.606193,-3.62323
0.740075,-0.359171,-0.362268,-130.510773,-0.591214,-3.960481
0.733176,-0.374871,-0.358198,-132.120407,-1.941761,-3.940156
0.726277,-0.390187,-0.35562,-133.757889,-3.105434,-4.064148
0.719936,-0.404589,-0.353661,-135.289505,-3.901178,-4.184083
0.714518,-0.417984,-0.352042,-136.53212,-4.961367,-4.373812
0.712675,-0.430043,-0.353693,-137.564041,-5.857174,-4.923494
0.712017,-0.441212,-0.355643,-138.38475,-6.523343,-5.03989
0.701534,-0.451178,-0.356942,-138.902878,-7.7142,-4.801638
0.698746,-0.459011,-0.358693,-139.294235,-8.372773,-5.200168
0.696364,-0.466339,-0.360279,-139.612549,-8.372527,-5.708896
0.694216,-0.473065,-0.362329,-139.800858,-8.255123,-6.215549
0.692626,-0.478829,-0.362314,-139.931412,-8.468813,-6.25147
0.69083,-0.483886,-0.361321,-140.109161,-8.539764,-6.178898
0.688677,-0.488833,-0.361091,-140.246185,-8.313508,-6.036747
0.686545,-0.493069,-0.360713,-140.1866,-8.569797,-5.537814
0.685139,-0.496104,-0.359341,-139.772171,-9.286925,-4.924531
0.684169,-0.498102,-0.358047,-139.196945,-10.363316,-4.57947
0.683924,-0.49882,-0.3569,-138.713547,-11.178007,-4.597079
0.683996,-0.498885,-0.356306,-138.310287,-11.259519,-4.587587
0.684183,-0.498421,-0.355682,-137.906067,-11.014096,-4.417634
0.684706,-0.497426,-0.35447,-137.571426,-10.705993,-4.240053
0.685784,-0.496231,-0.353176,-137.223526,-10.635191,-4.057802
0.687558,-0.494884,-0.352732,-136.680389,-10.804109,-3.703798
0.689583,-0.493357,-0.35287,-135.921494,-10.973504,-3.329346
0.691829,-0.492214,-0.353641,-135.094284,-10.781487,-3.382416
0.694025,-0.491751,-0.35467,-134.321991,-10.171046,-3.646698
