X,Y,Z,Yaw,Pitch,Roll
0.419619,0.70861,-0.230948,-95.596863,-9.780973,-3.084503
0.426321,0.708367,-0.231311,-96.324585,-9.653324,-3.099609
0.432237,0.707997,-0.23172,-96.987823,-9.534636,-3.253846
0.43728,0.707222,-0.231418,-97.638031,-9.647157,-3.406984
0.441975,0.707242,-0.230429,-98.338036,-9.973817,-3.503936
0.445599,0.70708,-0.229313,-98.895119,-10.575045,-3.269501
0.449111,0.707805,-0.228318,-99.25882,-11.288048,-2.965882
0.451944,0.708516,-0.227813,-99.386299,-11.635923,-2.96045
0.453735,0.708642,-0.227458,-99.352119,-11.781618,-3.074188
0.454605,0.708951,-0.226243,-99.2547,-11.865288,-3.032625
0.454011,0.709112,-0.223988,-99.079041,-11.965569,-2.832428
0.451822,0.708709,-0.221767,-98.792099,-12.58911,-2.663726
0.448881,0.708565,-0.222376,-98.445297,-13.2879,-2.580535
0.445419,0.707765,-0.222588,-98.122063,-13.575991,-3.057434
0.442795,0.707036,-0.222657,-98.028397,-13.55356,-3.753205
0.440676,0.706189,-0.222883,-98.085213,-13.351011,-3.673614
0.439731,0.705789,-0.222741,-98.228401,-13.386289,-3.474213
0.439082,0.704806,-0.222809,-98.492157,-13.464775,-3.399231
0.439045,0.703459,-0.223377,-98.72493,-13.559052,-3.211274
0.439308,0.702093,-0.223836,-99.01326,-13.770603,-3.021059
0.440053,0.700878,-0.224409,-99.353462,-13.81265,-2.810122
0.440866,0.69849,-0.225252,-99.816048,-13.566011,-2.726836
0.442032,0.696243,-0.22544,-100.392044,-13.448368,-2.713196
0.443723,0.694451,-0.225192,-101.125107,-13.511957,-2.650116
0.445099,0.691714,-0.223765,-101.878548,-13.832581,-2.571961
0.446808,0.688975,-0.221439,-102.696899,-14.24429,-2.624482
0.448948,0.686463,-0.21955,-103.616768,-14.823853,-3.015047
0.451552,0.683532,-0.218009,-104.573128,-15.504235,-3.495728
0.454997,0.680421,-0.217674,-105.557236,-15.892053,-3.841309
0.458712,0.676142,-0.218495,-106.548363,-15.83722,-3.915224
