X,Y,Z,Yaw,Pitch,Roll
-0.825806,-0.888825,-0.404811,42.817299,-9.838497,-3.123749
-0.831825,-0.880823,-0.404783,41.874023,-10.15591,-3.290498
-0.838049,-0.87265,-0.404787,41.100956,-10.397153,-3.422395
-0.844155,-0.864292,-0.404671,40.453468,-10.715084,-3.604066
-0.850103,-0.856187,-0.404093,39.838932,-11.0964,-3.825623
-0.856174,-0.848074,-0.403279,39.258232,-11.609128,-4.010315
-0.863004,-0.841071,-0.402262,38.662857,-12.235504,-4.217225
-0.870691,-0.835454,-0.40168,37.991894,-12.840605,-4.449281
-0.877019,-0.828947,-0.400967,37.123501,-13.380251,-4.707675
-0.882681,-0.822877,-0.400473,36.140942,-13.864955,-4.676975
-0.888707,-0.817528,-0.400102,35.42144,-14.267663,-4.510469
-0.894536,-0.811976,-0.399783,35.029606,-14.564934,-4.262147
-0.898752,-0.805538,-0.400301,34.906002,-14.668274,-3.923158
-0.903093,-0.799623,-0.400994,35.123768,-14.583764,-3.626709
-0.906949,-0.794051,-0.40141,35.571915,-14.502308,-3.278229
-0.911276,-0.789784,-0.401416,36.123482,-14.53833,-2.99646
-0.915471,-0.786557,-0.400924,36.732567,-14.501099,-2.73697
-0.919095,-0.783867,-0.400578,37.409832,-14.343171,-2.508178
-0.92316,-0.782968,-0.400063,38.157028,-14.155088,-2.149292
-0.925842,-0.782088,-0.399821,38.945454,-13.931939,-1.627655
-0.928441,-0.782628,-0.399674,39.705875,-13.654176,-1.063659
-0.930827,-0.784657,-0.400047,40.336304,-13.511199,-0.711639
-0.932126,-0.787016,-0.400521,40.828117,-13.482417,-0.442413
-0.932768,-0.789731,-0.401094,41.147308,-13.453423,-0.357361
-0.932859,-0.792203,-0.401026,41.289848,-13.431396,-0.368805
-0.933501,-0.795369,-0.400401,41.369965,-13.449516,-0.371094
-0.93443,-0.798624,-0.399669,41.376568,-13.489343,-0.314393
-0.935238,-0.801426,-0.399142,41.328766,-13.584951,-0.182555
-0.936322,-0.80391,-0.398037,41.275574,-13.762816,-0.061951
-0.937944,-0.806344,-0.397025,41.250706,-14.028006,0.107023
