X,Y,Z,Yaw,Pitch,Roll
-0.68964,-1.339283,-0.254243,69.828094,-1.188665,-0.34964
-0.694289,-1.329593,-0.254526,69.199402,-1.301513,-0.176666
-0.699378,-1.320353,-0.254551,68.851715,-1.529723,0.135803
-0.704238,-1.311232,-0.254996,68.560051,-1.483947,0.272312
-0.709365,-1.302343,-0.255696,68.206352,-1.400544,0.394018
-0.714808,-1.293796,-0.256949,67.84362,-1.396753,0.532758
-0.720369,-1.285729,-0.258236,67.393066,-1.456695,0.699602
-0.726396,-1.278087,-0.258842,66.928841,-1.624779,0.949043
-0.733118,-1.270489,-0.259146,66.426834,-1.672447,1.148319
-0.740943,-1.26313,-0.259028,65.852478,-1.668178,1.306089
-0.749193,-1.255544,-0.259226,65.302055,-1.484186,1.388272
-0.758327,-1.24811,-0.259199,64.681137,-1.272,1.409843
-0.768315,-1.240593,-0.259129,64.004959,-1.038605,1.462607
-0.77888,-1.233175,-0.258558,63.227482,-0.676879,1.338546
-0.790161,-1.226003,-0.257564,62.361439,-0.413117,1.271192
-0.803002,-1.21859,-0.256206,61.577709,-0.337247,1.260448
-0.816935,-1.211669,-0.254443,60.784843,-0.474643,0.895376
-0.832315,-1.204809,-0.25253,59.999985,-0.586611,0.712941
-0.848512,-1.197526,-0.251966,59.209061,-0.760043,0.377317
-0.865611,-1.190572,-0.252749,58.536549,-0.973049,-0.088409
-0.883293,-1.184141,-0.251917,58.106213,-1.448669,-0.296844
-0.889138,-1.181979,-0.252323,57.97131,-1.518522,-0.39621
-0.889138,-1.181979,-0.252323,57.97131,-1.518522,-0.39621
-0.933896,-1.164966,-0.255619,56.358173,-1.499595,-0.774414
-0.949153,-1.158502,-0.257794,55.800625,-1.428001,-0.674133
-0.963449,-1.152126,-0.260083,55.320972,-1.534539,-0.383087
-0.977307,-1.146163,-0.26197,54.983704,-1.811031,-0.045746
-0.990246,-1.14021,-0.263243,54.735844,-2.049589,0.06041
-1.002185,-1.134408,-0.264884,54.445713,-2.206882,0.01856
-1.013375,-1.129018,-0.265768,54.043472,-2.22824,0.032111
