X,Y,Z,Yaw,Pitch,Roll
0.045836,0.817389,-0.198088,-41.37952,-19.385067,-7.657842
0.043532,0.822498,-0.203993,-40.908478,-17.172516,-7.527137
0.04118,0.826633,-0.208587,-40.624786,-15.275751,-7.337165
0.039266,0.830125,-0.212259,-40.471066,-13.709077,-6.9307
0.037271,0.83315,-0.215237,-40.503193,-12.440089,-6.626287
0.035536,0.835306,-0.217784,-40.8731,-11.344357,-6.37772
0.033313,0.836789,-0.220472,-41.278446,-10.18582,-5.91135
0.031799,0.838852,-0.222837,-41.598919,-9.13214,-5.572543
0.029542,0.839916,-0.225292,-42.096668,-8.041134,-5.398593
0.02849,0.842442,-0.227726,-42.517597,-7.057805,-5.172945
0.02693,0.844108,-0.229765,-42.910294,-6.155879,-5.091097
0.02528,0.845584,-0.231638,-43.367252,-5.228086,-4.951083
0.02375,0.847356,-0.23323,-43.710297,-4.451603,-4.693819
0.0222,0.84884,-0.234571,-44.058605,-3.841824,-4.667329
0.020331,0.849758,-0.236215,-44.480076,-3.006403,-4.690921
0.018834,0.850842,-0.237585,-44.764534,-2.256278,-4.639894
0.017599,0.852563,-0.238597,-44.99316,-1.838776,-4.718203
0.016179,0.853708,-0.239986,-45.211197,-1.235991,-4.868685
0.014945,0.854766,-0.241324,-45.465485,-0.574487,-4.848452
0.013641,0.855311,-0.241828,-45.814598,-0.306976,-4.781954
0.011771,0.855188,-0.241569,-46.315643,-0.401246,-4.752717
0.010221,0.855158,-0.24088,-46.870171,-0.757926,-4.795718
0.008324,0.854629,-0.240277,-47.524975,-1.085754,-4.791872
0.006482,0.8539,-0.239736,-48.282059,-1.401241,-4.716525
0.004336,0.851989,-0.239006,-49.188652,-1.682371,-4.688174
0.002593,0.850823,-0.23772,-50.07148,-2.282806,-4.736544
0.000971,0.848799,-0.236335,-50.781723,-2.777373,-4.723452
-0.000396,0.846809,-0.234066,-51.493454,-3.447818,-4.717592
-0.0012,0.845715,-0.23176,-52.109184,-4.393737,-4.710847
-0.001306,0.844938,-0.229777,-52.50481,-5.328674,-4.600161
