X,Y,Z,Yaw,Pitch,Roll
-0.841416,0.588346,-0.377167,-34.533699,-23.206598,3.245799
-0.829117,0.57969,-0.368772,-34.196362,-24.340914,3.066138
-0.817564,0.571852,-0.360073,-33.780998,-25.772646,2.821169
-0.807428,0.564542,-0.351858,-33.307064,-27.06015,2.514482
-0.799472,0.558433,-0.344511,-32.68169,-28.52545,2.230278
-0.793492,0.553217,-0.338838,-32.028553,-29.85507,1.903715
-0.789382,0.548451,-0.334972,-31.283068,-30.74029,1.55685
-0.786811,0.544579,-0.332505,-30.476511,-31.107351,1.20491
-0.785612,0.54096,-0.331074,-29.625641,-31.15661,0.867888
-0.786187,0.537476,-0.329893,-28.710199,-31.137629,0.577118
-0.788186,0.533608,-0.328965,-27.710381,-31.071014,0.314989
-0.791565,0.529658,-0.328,-26.698528,-31.093805,-0.034363
-0.796201,0.525363,-0.327381,-25.649065,-31.12933,-0.510315
-0.801839,0.520931,-0.32738,-24.660746,-30.954805,-0.993103
-0.809028,0.516342,-0.328179,-23.775217,-30.67185,-1.426026
-0.817519,0.511109,-0.329785,-22.983902,-30.103333,-1.81833
-0.827601,0.505503,-0.331788,-22.254045,-29.393923,-2.038848
-0.83878,0.499959,-0.334199,-21.598072,-28.658571,-2.159455
-0.850915,0.494254,-0.336612,-21.000175,-27.949221,-2.191406
-0.863636,0.487847,-0.340131,-20.300287,-27.664518,-2.047944
-0.877066,0.480485,-0.344445,-19.672119,-27.197512,-2.013428
-0.890891,0.473057,-0.349671,-19.240511,-26.367151,-2.156555
-0.904691,0.465289,-0.355251,-18.956453,-25.351898,-2.270783
-0.918267,0.457407,-0.361454,-18.623909,-23.966797,-2.212463
-0.931658,0.449385,-0.367191,-18.364691,-22.607174,-2.134033
-0.944617,0.442,-0.372365,-18.202278,-21.34436,-2.045043
-0.956921,0.434934,-0.376795,-18.034248,-20.082394,-1.942718
-0.968919,0.428068,-0.380276,-17.876411,-19.105227,-1.755677
-0.980801,0.421342,-0.383031,-17.695473,-18.322077,-1.580871
-0.99229,0.414734,-0.385988,-17.535839,-17.44338,-1.471405
