X,Y,Z,Yaw,Pitch,Roll
-0.011983,0.815138,-0.227459,-81.169487,-8.520203,-0.65271
-0.023175,0.814365,-0.226264,-80.710464,-8.391024,-1.261078
-0.03407,0.813222,-0.224741,-80.511276,-8.326355,-1.847137
-0.044476,0.811919,-0.222897,-80.566589,-8.453978,-2.589538
-0.054092,0.810089,-0.221045,-80.869644,-8.442749,-3.235719
-0.062565,0.808246,-0.219406,-81.389091,-8.297696,-3.884431
-0.069879,0.805952,-0.216986,-82.033455,-7.817657,-4.366395
-0.076598,0.803313,-0.213198,-82.718361,-7.21313,-4.671296
-0.081586,0.800137,-0.209113,-83.407028,-6.274867,-4.96033
-0.085392,0.796616,-0.203598,-84.013359,-5.233741,-5.214205
-0.088592,0.792603,-0.196998,-84.663712,-3.879479,-5.436679
-0.09101,0.788599,-0.187199,-85.376823,-2.157957,-5.421938
-0.092963,0.785742,-0.170938,-86.024223,-0.318505,-5.101809
-0.094443,0.78245,-0.150261,-86.546043,1.528514,-4.494631
-0.09567,0.779218,-0.128622,-86.938538,3.521324,-4.427431
-0.096826,0.776543,-0.105141,-86.80854,4.151143,-3.750978
-0.098213,0.773885,-0.081507,-86.552551,5.134888,-3.109834
-0.09891,0.772299,-0.056486,-86.153687,5.627495,-2.525513
-0.100511,0.771256,-0.03191,-85.935478,6.000567,-2.182892
-0.102264,0.770844,-0.006241,-85.548431,7.120274,-1.680114
-0.104107,0.770274,0.019933,-85.48278,8.528447,-0.957031
-0.105133,0.770704,0.045732,-85.125603,9.46201,-0.549988
-0.1066,0.770459,0.06962,-84.711288,10.810638,-0.038818
-0.107725,0.770363,0.094167,-84.40448,11.870144,0.596068
-0.107928,0.770314,0.118729,-84.369766,12.672719,0.956097
-0.107334,0.77023,0.141868,-83.989655,13.745625,1.782388
-0.106482,0.770234,0.165009,-83.746429,14.765318,2.47787
-0.104794,0.770231,0.188133,-83.455055,15.829926,3.172833
-0.102503,0.770149,0.210446,-83.337753,16.859781,4.027923
-0.099671,0.7703,0.23328,-83.331169,17.724873,4.746133
