X,Y,Z,Yaw,Pitch,Roll
-0.139177,0.703357,-0.408538,-80.360603,-6.987154,-10.121445
-0.131503,0.695797,-0.407626,-83.249847,-6.906919,-10.815689
-0.122627,0.689908,-0.404692,-85.1847,-8.014708,-11.070114
-0.114167,0.68327,-0.404003,-87.195328,-8.864772,-11.526994
-0.105371,0.67649,-0.405541,-89.223198,-9.157562,-11.660388
-0.096971,0.669911,-0.407932,-91.069473,-9.212647,-10.898394
-0.087814,0.664947,-0.409546,-92.534561,-9.789184,-9.792188
-0.078857,0.659216,-0.411153,-94.069946,-10.097621,-8.806864
-0.069448,0.652915,-0.412975,-95.459526,-9.852172,-7.570471
-0.059887,0.646177,-0.414312,-96.71563,-9.298339,-6.216131
-0.049053,0.639895,-0.413944,-97.688461,-9.11865,-5.133394
-0.037529,0.634244,-0.412618,-98.841751,-9.080231,-4.126527
-0.025508,0.628398,-0.410684,-100.079895,-9.141873,-3.211335
-0.01156,0.622831,-0.408503,-101.017525,-9.422089,-2.28363
0.004391,0.617055,-0.406014,-101.758865,-9.586272,-1.464753
0.022524,0.611644,-0.403833,-102.564499,-9.70578,-0.524536
0.04337,0.606205,-0.402354,-103.495033,-9.23016,0.516444
0.065461,0.599705,-0.400171,-104.69722,-8.776855,1.319997
0.089796,0.593162,-0.397686,-106.133255,-8.157929,1.671685
0.114537,0.586285,-0.393994,-107.496361,-7.685943,2.412794
0.138837,0.579047,-0.388919,-108.858604,-7.784243,3.550114
0.16342,0.571919,-0.384351,-110.206261,-7.86389,4.607122
0.18679,0.563695,-0.379593,-111.45668,-7.135983,5.694781
0.209365,0.556014,-0.373643,-112.557739,-6.532133,6.807301
0.223031,0.550116,-0.369573,-113.182869,-6.199189,7.560288
0.249902,0.54039,-0.361336,-114.252213,-5.446072,9.045978
0.268106,0.533898,-0.354477,-114.998726,-4.968723,10.042589
0.285727,0.528666,-0.347636,-115.704681,-4.557853,11.004099
0.302434,0.523371,-0.341378,-116.191261,-4.150118,12.200967
0.317194,0.51693,-0.335708,-116.544098,-3.573152,13.419534
