X,Y,Z,Yaw,Pitch,Roll
-0.298304,0.676839,0.155295,-71.56472,3.218481,57.151077
-0.299336,0.677599,0.149887,-71.213974,2.644868,56.521881
-0.301378,0.67844,0.141207,-70.8349,2.131681,55.627861
-0.304582,0.679794,0.128469,-70.580879,1.839937,54.373325
-0.308368,0.681202,0.112691,-70.269691,1.769306,52.992264
-0.312535,0.68327,0.094051,-69.74073,1.717178,51.588207
-0.317522,0.684993,0.072154,-69.160248,1.670589,50.142456
-0.323323,0.686754,0.047726,-68.251282,1.722956,48.453953
-0.329605,0.688734,0.021065,-67.121544,1.947492,46.330605
-0.337045,0.690751,-0.006586,-65.869217,1.896293,43.849873
-0.345448,0.692804,-0.035361,-64.476105,1.40249,40.749359
-0.355758,0.694076,-0.064403,-63.381672,0.691208,37.569717
-0.367406,0.694477,-0.093668,-62.170784,0.021303,34.242512
-0.380006,0.692916,-0.123239,-61.000614,-0.080753,31.016115
-0.393267,0.68998,-0.152296,-59.629112,0.381111,27.842482
-0.407962,0.684925,-0.179885,-58.746193,0.688449,24.697767
-0.424336,0.678706,-0.204866,-58.340439,0.413821,21.390985
-0.44164,0.670785,-0.227091,-58.668262,-0.210575,18.199751
-0.459731,0.661922,-0.246989,-59.105339,-0.879517,14.974718
-0.478981,0.652073,-0.264436,-59.617847,-1.589139,12.36573
-0.498823,0.642238,-0.278293,-60.280445,-2.489139,10.669086
-0.518143,0.632368,-0.287291,-60.77599,-3.295716,9.465986
-0.53651,0.621949,-0.292578,-60.930981,-3.982362,8.379237
-0.553519,0.610835,-0.29558,-60.982807,-4.625882,7.503627
-0.569174,0.599025,-0.297587,-61.041508,-5.179838,7.123853
-0.582537,0.586546,-0.299705,-60.946869,-5.881161,6.751921
-0.594218,0.573339,-0.302327,-60.669727,-6.75479,6.03303
-0.603866,0.55956,-0.305439,-60.225395,-7.177484,5.371282
-0.611361,0.546024,-0.307911,-59.492851,-7.474665,4.708968
-0.616931,0.532582,-0.310181,-58.563057,-8.004421,3.961895
