X,Y,Z,Yaw,Pitch,Roll
-1.488904,-0.032583,-0.38679,-11.617907,-0.546115,1.517778
-1.48578,-0.026657,-0.387382,-11.531543,0.082201,2.007069
-1.481728,-0.020006,-0.387461,-11.536242,0.373591,2.221226
-1.476422,-0.013197,-0.390617,-11.639484,0.485223,2.607448
-1.470902,-0.006852,-0.391814,-11.825701,0.443409,3.58357
-1.465363,-0.001461,-0.392437,-12.152271,0.037402,4.541173
-1.459537,0.003268,-0.394506,-12.449025,0.022922,5.173802
-1.453503,0.00798,-0.396828,-12.464344,0.275769,5.578651
-1.447501,0.011853,-0.398841,-12.408651,0.80543,5.734284
-1.441398,0.014677,-0.400328,-12.289234,1.322769,6.107552
-1.435517,0.016565,-0.401217,-12.10027,1.83034,6.433388
-1.429326,0.017967,-0.402544,-11.744891,2.373163,6.68195
-1.423637,0.018641,-0.40406,-11.222795,2.96394,6.742722
-1.418423,0.018512,-0.405113,-10.660233,3.475917,6.51706
-1.413371,0.017769,-0.406062,-10.030135,3.891698,6.269535
-1.408396,0.01614,-0.406247,-9.396222,4.084398,6.082602
-1.403836,0.01405,-0.405838,-8.676981,4.08935,6.133728
-1.399495,0.010728,-0.405474,-7.858192,4.034169,6.346343
-1.395352,0.006548,-0.405152,-6.985906,3.938171,6.354321
-1.391542,0.000966,-0.404415,-6.133824,3.642991,6.338607
-1.388073,-0.006341,-0.403638,-5.320316,3.369325,6.228636
-1.38482,-0.014941,-0.402891,-4.582613,3.22654,5.929121
-1.382388,-0.024756,-0.40201,-4.053163,3.035835,5.488365
-1.380334,-0.036077,-0.401456,-3.841065,2.826926,4.911643
-1.378992,-0.048861,-0.40069,-3.905672,2.642989,4.269657
-1.378259,-0.062775,-0.399888,-4.254336,2.392806,3.675481
-1.37826,-0.077668,-0.398761,-4.785372,2.134052,3.125547
-1.379053,-0.093383,-0.397259,-5.221653,1.789585,2.677761
-1.380627,-0.109493,-0.395433,-5.473575,1.36237,2.402061
-1.382176,-0.126245,-0.395097,-5.633242,0.953686,2.130888
