X,Y,Z,Yaw,Pitch,Roll
0.118233,0.781005,-0.332289,-95.370819,-26.620668,-3.663395
0.113547,0.781034,-0.327545,-95.624451,-27.969788,-3.950654
0.109125,0.781095,-0.322305,-95.75869,-29.502037,-4.292266
0.10443,0.78089,-0.316644,-95.795509,-31.213745,-4.617432
0.099774,0.780377,-0.310579,-95.769684,-33.045071,-5.006016
0.095547,0.780697,-0.304074,-95.618279,-35.343353,-5.425693
0.091714,0.781761,-0.298085,-95.273537,-37.782127,-5.830598
0.088197,0.782097,-0.293067,-94.911446,-39.547298,-6.113775
0.085244,0.782639,-0.289043,-94.40313,-40.973682,-6.354736
0.082481,0.782872,-0.286446,-93.748436,-42.134327,-6.546262
0.079959,0.782912,-0.28517,-93.019539,-42.612873,-6.891212
0.077688,0.782922,-0.284644,-92.339279,-42.829788,-7.256537
0.075837,0.783022,-0.284381,-91.665451,-43.030872,-7.630075
0.074298,0.784091,-0.284263,-91.031738,-43.170856,-8.09788
0.073067,0.785465,-0.284112,-90.522766,-43.23526,-8.588455
0.072125,0.787628,-0.283749,-90.132408,-43.289486,-9.060345
0.072006,0.790647,-0.283541,-90.016548,-43.153255,-9.303542
0.072166,0.794665,-0.284315,-89.700508,-42.974728,-9.68672
0.072889,0.799911,-0.285193,-89.582962,-42.595936,-9.956317
0.073292,0.805628,-0.286485,-89.646423,-41.952324,-10.15678
0.074394,0.812035,-0.288119,-89.924377,-41.038231,-10.283373
0.076076,0.819452,-0.290068,-90.338402,-39.937981,-10.372758
0.07818,0.827568,-0.291985,-90.826797,-38.883915,-10.432354
0.080046,0.835953,-0.293852,-91.420837,-37.767784,-10.398973
0.083195,0.84539,-0.295596,-92.014557,-36.597988,-10.387405
0.087108,0.855877,-0.297075,-92.553879,-35.427486,-10.303206
0.09162,0.866755,-0.298854,-93.076721,-33.956203,-10.154587
0.096387,0.878022,-0.300558,-93.519714,-32.297539,-10.068006
0.102269,0.890272,-0.302456,-93.938957,-30.488153,-9.971114
0.109162,0.903162,-0.304833,-94.273796,-28.625908,-9.914655
