X,Y,Z,Yaw,Pitch,Roll
1.73651,0.702421,-0.333922,-60.197296,-0.678586,0.226288
1.73916,0.695853,-0.334996,-60.07629,0.164587,0.229468
1.741371,0.687825,-0.335664,-60.119774,0.815456,0.22154
1.743413,0.679125,-0.335696,-60.286983,1.33524,0.260319
1.745294,0.669447,-0.33502,-60.493713,1.672385,0.277768
1.747312,0.659516,-0.33418,-60.658997,2.023273,0.287585
1.749347,0.649194,-0.333689,-60.681187,2.586217,0.334516
1.751502,0.63812,-0.333111,-60.548954,3.256511,0.432402
1.753536,0.62622,-0.332597,-60.200684,4.095285,0.602063
1.755285,0.61355,-0.331886,-59.753864,4.924368,0.854172
1.756808,0.600123,-0.332353,-59.287582,5.583734,1.168539
1.758026,0.585761,-0.334265,-58.897167,6.352335,1.332899
1.759111,0.570797,-0.33681,-58.745922,6.952203,1.343853
1.76007,0.556116,-0.339202,-58.775169,7.082154,1.479402
1.76082,0.542154,-0.34167,-58.865402,6.827313,1.674178
1.761493,0.528831,-0.34405,-58.997246,6.687656,1.791862
1.762424,0.516913,-0.345969,-59.107964,7.042642,1.911632
1.763667,0.505489,-0.347511,-59.233269,7.589275,2.11695
1.765425,0.495251,-0.34799,-59.471519,7.990009,2.155724
1.767578,0.485317,-0.348377,-59.709885,8.201001,2.205482
1.770005,0.475435,-0.348869,-60.023521,8.402676,2.18542
1.773842,0.463108,-0.349647,-60.54916,8.618667,2.191839
1.776915,0.453697,-0.349945,-61.070248,8.75622,2.29256
1.780175,0.444775,-0.349966,-61.80909,8.890372,2.330859
1.783499,0.435556,-0.349815,-62.793312,8.838763,2.376561
1.787391,0.427256,-0.349309,-63.973469,8.565603,2.372999
1.791334,0.418845,-0.348657,-65.253029,7.897638,2.189696
1.794899,0.410472,-0.346766,-66.663628,6.977052,1.814477
1.798266,0.403582,-0.345578,-68.4534,6.126065,0.867936
1.799433,0.399299,-0.34603,-70.535477,4.586076,-0.514343
