X,Y,Z,Yaw,Pitch,Roll
0.737696,-0.521961,-0.347987,-98.86071,-9.910276,-2.573853
0.73835,-0.520875,-0.34862,-97.265854,-9.836271,-2.384338
0.738662,-0.519467,-0.349243,-95.859917,-9.70843,-2.278107
0.738819,-0.518018,-0.349639,-94.599663,-9.575255,-2.287475
0.739078,-0.516189,-0.349752,-93.432869,-9.454348,-2.464478
0.739446,-0.514396,-0.349664,-92.304008,-9.465788,-2.54358
0.739805,-0.512145,-0.348953,-91.20993,-9.717221,-2.399172
0.739673,-0.509767,-0.348209,-90.251831,-9.977629,-1.988891
0.738958,-0.507265,-0.347399,-89.42868,-10.263888,-1.40799
0.737369,-0.504786,-0.346698,-88.805359,-10.464197,-0.892487
0.735519,-0.502365,-0.346417,-88.532173,-10.471472,-0.818879
0.732821,-0.500695,-0.346444,-88.725624,-10.271115,-1.147675
0.729553,-0.499492,-0.346235,-89.409744,-10.037809,-1.473053
0.725669,-0.498305,-0.345503,-90.394287,-9.998072,-1.416656
0.721303,-0.497662,-0.344748,-91.645988,-9.861994,-1.304809
0.716815,-0.497854,-0.343412,-93.407715,-9.505212,-1.683318
0.711953,-0.49858,-0.341637,-95.67054,-9.368471,-2.101532
0.706778,-0.500341,-0.34067,-98.096069,-9.431268,-2.458985
0.701041,-0.502661,-0.340475,-100.682152,-9.855621,-2.628479
0.694543,-0.505225,-0.340515,-103.401962,-10.553215,-2.464721
0.687171,-0.508411,-0.340676,-106.236519,-11.108421,-2.150542
0.679182,-0.512196,-0.34084,-109.216095,-11.244785,-1.920593
0.670133,-0.516885,-0.340747,-112.299896,-11.054203,-1.719362
0.66073,-0.522397,-0.340075,-115.301605,-10.875033,-1.488434
0.651504,-0.528708,-0.338631,-118.187225,-10.76685,-1.329987
0.641932,-0.536254,-0.337455,-121.092087,-10.619967,-1.369538
0.632652,-0.54459,-0.336321,-123.982529,-10.409788,-1.317505
0.623316,-0.553763,-0.335666,-126.827057,-10.073422,-1.221161
0.613845,-0.564084,-0.335528,-129.659897,-9.566526,-1.123748
0.604742,-0.575215,-0.33522,-132.393372,-8.966426,-1.255309
