X,Y,Z,Yaw,Pitch,Roll
-0.570548,-0.453192,-0.394888,16.206934,-24.138304,-10.065932
-0.562254,-0.457184,-0.394741,17.312223,-23.613152,-9.82881
-0.554029,-0.460481,-0.394328,18.212961,-23.131739,-9.603165
-0.545035,-0.463989,-0.397054,19.177151,-23.901884,-9.054758
-0.534654,-0.466205,-0.399199,19.897072,-23.291525,-8.318582
-0.525433,-0.468779,-0.401246,20.686802,-23.484306,-7.762276
-0.51701,-0.470213,-0.402511,21.636562,-23.952845,-7.698646
-0.508281,-0.471575,-0.404007,22.382313,-23.904322,-7.722664
-0.499467,-0.473183,-0.405051,22.935495,-23.456964,-7.605477
-0.490556,-0.474601,-0.40509,23.512545,-23.103912,-7.293159
-0.481823,-0.475953,-0.40428,24.209003,-23.172487,-7.068304
-0.473578,-0.476894,-0.402913,25.064947,-23.755157,-7.05796
-0.46571,-0.478117,-0.401716,26.078814,-24.466494,-7.071204
-0.458764,-0.479683,-0.400929,27.224834,-25.001162,-7.172491
-0.451659,-0.48111,-0.400337,28.426004,-25.303793,-7.401465
-0.445136,-0.482572,-0.399935,29.588409,-25.519129,-7.567085
-0.43892,-0.484275,-0.399462,30.760687,-25.762966,-7.64698
-0.433153,-0.486195,-0.398847,31.959372,-26.057613,-7.845834
-0.427936,-0.488646,-0.397891,33.213123,-26.351257,-8.077647
-0.423694,-0.492355,-0.397149,34.528549,-26.554777,-8.307718
-0.419109,-0.496368,-0.396744,35.948421,-26.657715,-8.549724
-0.414962,-0.500882,-0.396869,37.462212,-26.667543,-8.881724
-0.411109,-0.506665,-0.39694,39.028912,-26.539,-9.172466
-0.407623,-0.513581,-0.396848,40.542774,-26.394615,-9.544628
-0.405383,-0.519215,-0.396638,41.561485,-26.325371,-9.83357
-0.401982,-0.52785,-0.396568,43.007027,-26.195885,-10.260756
-0.397845,-0.541152,-0.396591,44.831303,-25.924261,-10.725022
-0.394482,-0.552914,-0.39679,46.213524,-25.569912,-10.961349
-0.390679,-0.565336,-0.397052,47.552834,-25.085138,-11.141219
-0.386985,-0.578892,-0.397168,48.863148,-24.654509,-11.217881
