X,Y,Z,Yaw,Pitch,Roll
-0.169486,-0.59402,-0.475858,45.866848,-27.96896,11.442212
-0.169349,-0.594893,-0.474947,45.959679,-28.228514,11.192678
-0.168766,-0.595335,-0.474217,46.025146,-28.381496,11.021138
-0.167865,-0.595839,-0.473311,46.05563,-28.597775,10.840823
-0.166993,-0.596166,-0.472921,46.062466,-28.752464,10.682827
-0.166221,-0.596528,-0.472686,46.091339,-28.822508,10.501054
-0.165263,-0.596936,-0.472496,46.080166,-28.943935,10.261258
-0.164068,-0.597128,-0.472417,46.045048,-29.058464,10.057308
-0.162829,-0.597237,-0.47206,45.96077,-29.269005,9.91379
-0.16162,-0.597556,-0.47149,45.818359,-29.532528,9.76971
-0.160634,-0.597759,-0.470964,45.635277,-29.779268,9.693925
-0.15945,-0.597865,-0.470522,45.465393,-30.033564,9.643547
-0.158497,-0.597946,-0.470462,45.31665,-30.234125,9.591887
-0.157633,-0.597898,-0.470449,45.249092,-30.327383,9.512429
-0.156665,-0.597771,-0.470279,45.26511,-30.353086,9.392175
-0.155591,-0.597256,-0.470409,45.326023,-30.37855,9.330419
-0.154068,-0.596648,-0.470387,45.395466,-30.432241,9.148281
-0.152952,-0.596414,-0.4703,45.469227,-30.473482,8.963254
-0.151524,-0.596112,-0.470211,45.534836,-30.550049,8.811387
-0.150326,-0.595962,-0.470358,45.596321,-30.587915,8.617731
-0.149191,-0.595791,-0.470543,45.70372,-30.534597,8.421035
-0.148335,-0.595751,-0.470935,45.817707,-30.442745,8.228577
-0.14733,-0.595686,-0.471313,45.934505,-30.359705,8.051166
-0.145955,-0.595345,-0.471814,46.080639,-30.207575,7.831857
-0.144749,-0.595243,-0.472462,46.258965,-29.97961,7.564612
-0.143337,-0.595133,-0.473047,46.415192,-29.820461,7.313731
-0.14231,-0.595486,-0.473443,46.531761,-29.711123,7.139083
-0.14071,-0.59519,-0.473569,46.672417,-29.612242,6.960128
-0.139173,-0.594989,-0.473478,46.825966,-29.635376,6.785689
-0.13724,-0.594784,-0.473414,47.016121,-29.577518,6.569414
