X,Y,Z,Yaw,Pitch,Roll
-0.439967,0.75695,-0.414906,-60.045925,-11.489743,-2.382324
-0.434299,0.753269,-0.415826,-60.226807,-11.548859,-2.489228
-0.429216,0.749121,-0.416752,-60.455505,-11.540676,-2.592865
-0.424092,0.745884,-0.417204,-60.656666,-11.616662,-2.707429
-0.419078,0.74338,-0.417294,-60.838898,-11.690455,-2.816529
-0.414418,0.741175,-0.417581,-61.014526,-11.711417,-2.978484
-0.410003,0.739371,-0.417698,-61.07946,-11.684869,-3.166656
-0.405672,0.738154,-0.417969,-61.206551,-11.803468,-3.461793
-0.400505,0.738763,-0.418826,-61.459755,-11.937039,-3.650177
-0.395892,0.739299,-0.419818,-61.688995,-11.989317,-3.654145
-0.390922,0.740863,-0.420935,-61.901794,-11.851532,-3.604249
-0.385128,0.743471,-0.422355,-62.170086,-11.483125,-3.497071
-0.379846,0.745767,-0.424021,-62.457226,-11.000976,-3.395356
-0.373393,0.748868,-0.425616,-62.748001,-10.515417,-3.205995
-0.366005,0.752374,-0.42706,-63.101185,-10.090484,-2.994416
-0.35858,0.755689,-0.427935,-63.514519,-9.831941,-2.745362
-0.351385,0.758509,-0.428708,-63.998432,-9.662074,-2.518464
-0.342531,0.76197,-0.429385,-64.544121,-9.366334,-2.312043
-0.333237,0.765495,-0.430008,-64.976921,-8.703641,-2.257782
-0.323719,0.769441,-0.430265,-65.361809,-7.982141,-2.169373
-0.313948,0.774843,-0.430134,-65.691055,-7.476188,-2.120697
-0.30471,0.781559,-0.429005,-66.025467,-7.524594,-2.122773
-0.295341,0.789248,-0.428363,-66.444862,-7.534641,-2.29831
-0.285508,0.797859,-0.428188,-66.938431,-7.256222,-2.504425
-0.27522,0.807379,-0.428369,-67.533188,-6.948365,-2.678864
-0.264696,0.817139,-0.428755,-68.235641,-6.522031,-2.82425
-0.254166,0.82701,-0.429074,-68.975349,-6.1228,-2.886902
-0.242724,0.837615,-0.428846,-69.728096,-5.783537,-2.935456
-0.231083,0.847759,-0.428636,-70.510162,-5.373658,-3.151948
-0.218964,0.85858,-0.42817,-71.272736,-5.025564,-3.312958
