X,Y,Z,Yaw,Pitch,Roll
-0.380335,0.715516,-0.380749,-51.152153,-3.195217,4.7741
-0.375904,0.72047,-0.380702,-51.648491,-3.201227,4.76641
-0.370904,0.726405,-0.380676,-52.128307,-3.405457,4.451539
-0.365665,0.733278,-0.380547,-52.656536,-3.726804,4.093758
-0.359968,0.741165,-0.380148,-53.195045,-4.118371,3.724467
-0.353944,0.75012,-0.379026,-53.739811,-4.572634,3.362123
-0.347149,0.759932,-0.377995,-54.224056,-4.454772,2.908309
-0.339742,0.770886,-0.377022,-54.630939,-4.017264,2.370478
-0.332083,0.783151,-0.374833,-55.03426,-3.746611,1.831148
-0.323992,0.796876,-0.371793,-55.399857,-3.736783,1.300673
-0.315232,0.811641,-0.368953,-55.638592,-4.041341,0.719471
-0.305857,0.827104,-0.366628,-55.854069,-4.537752,0.052002
-0.296249,0.843664,-0.3646,-56.082623,-5.26654,-0.581299
-0.286934,0.861006,-0.362662,-56.326675,-6.404449,-1.105621
-0.278243,0.878473,-0.360824,-56.623089,-7.606904,-1.474182
-0.270026,0.895479,-0.359115,-57.007576,-8.83194,-1.909882
-0.262557,0.912158,-0.357772,-57.413944,-9.81091,-2.318817
-0.255791,0.927905,-0.356811,-57.957832,-10.588473,-2.698822
-0.249906,0.942912,-0.355725,-58.620682,-11.320307,-2.991639
-0.244999,0.95696,-0.355347,-59.414967,-11.855801,-3.13797
-0.240942,0.969993,-0.355973,-60.328365,-12.130341,-3.200715
-0.237514,0.981824,-0.356728,-61.309361,-12.353086,-3.02765
-0.234726,0.992784,-0.35764,-62.23325,-12.62863,-2.790437
-0.232382,1.002732,-0.358741,-63.063644,-12.76147,-2.557343
-0.231228,1.012394,-0.359267,-63.785625,-12.889393,-2.224335
-0.230428,1.021664,-0.35954,-64.358536,-13.132445,-1.799073
-0.230586,1.030621,-0.359378,-64.756798,-13.312564,-1.619171
-0.231588,1.038828,-0.359005,-65.032608,-13.296411,-1.415436
-0.233655,1.046563,-0.358634,-65.16153,-13.187469,-1.199035
-0.23661,1.053519,-0.358631,-65.144859,-13.037963,-1.224762
