X,Y,Z,Yaw,Pitch,Roll
-0.361653,1.57657,-0.375901,-70.225952,-1.809563,-0.057739
-0.365272,1.583009,-0.3752,-70.543289,-1.8916,0.028816
-0.368916,1.588882,-0.375272,-70.648369,-1.804256,0.052344
-0.372993,1.594421,-0.375182,-70.63903,-1.68136,0.179437
-0.378082,1.599462,-0.375061,-70.451942,-1.596092,0.219138
-0.383598,1.604072,-0.375123,-70.147957,-1.398741,0.162961
-0.389896,1.60848,-0.375525,-69.812386,-1.180386,0.027618
-0.396883,1.612539,-0.37564,-69.495728,-0.978486,-0.134888
-0.404822,1.616307,-0.375577,-69.267311,-0.885254,-0.268311
-0.413588,1.619812,-0.374685,-69.137756,-0.912295,-0.31842
-0.423431,1.623143,-0.373293,-69.136917,-1.213007,-0.336822
-0.434458,1.626027,-0.371371,-69.194038,-1.602294,-0.267609
-0.446562,1.629043,-0.369207,-69.263672,-1.856227,-0.346832
-0.460305,1.632112,-0.3663,-69.364265,-2.224149,-0.597046
-0.475136,1.635225,-0.36263,-69.510651,-2.737997,-0.790558
-0.491163,1.638441,-0.358453,-69.702728,-3.30114,-1.062103
-0.508219,1.641447,-0.353644,-69.972549,-3.727596,-1.338959
-0.525983,1.644057,-0.349337,-70.292686,-3.75644,-1.52185
-0.544999,1.64618,-0.344795,-70.655846,-3.852869,-1.59967
-0.564165,1.648261,-0.340482,-71.014641,-4.277187,-1.644012
-0.583383,1.649647,-0.33877,-71.351768,-4.969905,-1.960388
-0.603011,1.650062,-0.34004,-71.757317,-5.839661,-2.252686
-0.623477,1.651114,-0.340159,-72.214951,-6.77899,-2.440765
-0.643249,1.65246,-0.341134,-72.701393,-7.576291,-3.026246
-0.662552,1.653316,-0.343068,-73.164856,-7.556457,-3.390686
-0.681001,1.653451,-0.34577,-73.598305,-7.069607,-3.747895
-0.69834,1.653312,-0.348316,-74.03875,-6.7652,-4.237611
-0.714421,1.652968,-0.350585,-74.479523,-6.923762,-4.665956
-0.729398,1.652287,-0.35264,-74.792877,-7.283051,-4.970461
-0.743748,1.65191,-0.353627,-75.046593,-7.745455,-5.573765
