X,Y,Z,Yaw,Pitch,Roll
-0.57381,-0.24382,-0.361399,60.614525,-8.622799,-8.014841
-0.570644,-0.226577,-0.362286,60.474575,-9.207122,-7.918985
-0.568443,-0.209754,-0.363196,60.522072,-9.772183,-7.473183
-0.566702,-0.193269,-0.363738,60.612476,-9.856782,-6.660559
-0.565491,-0.176685,-0.362808,60.609184,-9.387391,-5.805912
-0.564404,-0.160288,-0.36126,60.587437,-8.862484,-5.205417
-0.563613,-0.143206,-0.36174,60.612938,-8.620395,-4.742892
-0.563063,-0.125982,-0.362894,60.604538,-8.331416,-4.195802
-0.563331,-0.10935,-0.363227,60.357437,-8.415312,-4.167451
-0.564334,-0.092965,-0.363341,59.904282,-8.694482,-4.306673
-0.566156,-0.076641,-0.363062,59.368057,-8.771301,-4.152254
-0.568158,-0.05942,-0.362947,58.697441,-8.587924,-3.72699
-0.56988,-0.041,-0.362412,58.060627,-8.319183,-3.379456
-0.572992,-0.022923,-0.361223,57.508591,-8.038996,-2.970032
-0.576672,-0.004807,-0.359636,57.063175,-8.032719,-2.543213
-0.580747,0.013658,-0.357641,56.619938,-8.285708,-2.139862
-0.585148,0.032132,-0.35571,56.105129,-8.481195,-1.966522
-0.589504,0.051054,-0.354014,55.410789,-8.417299,-2.086426
-0.594488,0.069309,-0.352232,54.486481,-7.994565,-2.421447
-0.599865,0.087999,-0.35134,53.403545,-7.68817,-3.1297
-0.605175,0.106838,-0.352706,52.201149,-7.718298,-3.911134
-0.610549,0.12551,-0.355756,51.196095,-7.857456,-4.200961
-0.616052,0.143746,-0.358781,50.555191,-8.14056,-4.076875
-0.621078,0.162036,-0.362114,50.125744,-8.206089,-4.006014
-0.625736,0.180055,-0.365168,49.811924,-7.800322,-4.04184
-0.628952,0.198896,-0.368264,49.595444,-7.195071,-4.147126
-0.631876,0.216793,-0.370616,49.429543,-6.867338,-4.075105
-0.634443,0.234094,-0.371856,49.281914,-7.077851,-4.083894
-0.636597,0.250622,-0.371199,49.015564,-7.477937,-4.364321
-0.638046,0.267038,-0.369984,48.560925,-7.90063,-4.868136
