X,Y,Z,Yaw,Pitch,Roll
-0.390872,0.504826,-0.317144,-74.319168,-39.126156,-13.565666
-0.408993,0.5012,-0.316233,-70.469238,-38.270992,-15.272323
-0.425668,0.498127,-0.315347,-66.947281,-37.268425,-17.149372
-0.440648,0.495265,-0.314899,-63.09977,-36.209595,-19.47019
-0.45468,0.492182,-0.314341,-59.364067,-35.105072,-21.423973
-0.466484,0.490718,-0.313768,-55.641342,-34.111683,-22.905317
-0.477512,0.488615,-0.313134,-52.290756,-33.249416,-24.344582
-0.488056,0.485345,-0.312215,-49.523651,-32.138695,-25.076729
-0.497417,0.480235,-0.310913,-47.04808,-31.04635,-25.778389
-0.505743,0.474716,-0.309176,-44.97702,-30.062134,-26.547497
-0.513314,0.468856,-0.306754,-42.99321,-29.19519,-27.157242
-0.520336,0.461966,-0.303541,-41.18763,-28.55068,-27.723986
-0.526346,0.454138,-0.30046,-39.689964,-27.912659,-28.253502
-0.53212,0.445188,-0.297157,-38.521461,-27.302341,-28.771912
-0.535628,0.436893,-0.293237,-37.573708,-26.533876,-29.094727
-0.538172,0.428497,-0.288778,-36.563557,-25.836937,-29.492704
-0.538722,0.420752,-0.284489,-35.250614,-25.193356,-30.386206
-0.538381,0.412946,-0.28004,-34.097767,-24.321934,-30.978649
-0.536652,0.405179,-0.27582,-32.878071,-23.340025,-31.419695
-0.53475,0.398532,-0.271144,-31.64076,-22.607815,-32.163414
-0.532318,0.39181,-0.267074,-30.523722,-21.779266,-32.568073
-0.529465,0.386529,-0.262819,-29.373631,-20.894312,-33.019001
-0.526846,0.380784,-0.259002,-28.499414,-19.994074,-33.292194
-0.52413,0.375917,-0.25492,-27.551682,-19.127712,-33.628952
-0.521276,0.372033,-0.250483,-26.546827,-18.206333,-33.307487
-0.518009,0.368945,-0.246635,-25.258831,-17.163055,-32.319782
-0.514885,0.365636,-0.242826,-24.224342,-16.277153,-31.915054
-0.512598,0.362073,-0.23955,-23.474226,-15.585173,-32.146412
-0.510947,0.358104,-0.236664,-23.028669,-14.976439,-32.539906
-0.510084,0.353945,-0.234166,-22.942883,-14.574639,-32.704494
