id,x,y,z
624,-1500.0,562.4999,1000.0
625,-1500.0,187.5,875.0
626,-1500.0,-0.0,812.5
627,-1500.0,562.4999,937.5
628,-1500.0,749.9999,1000.0
629,-1500.0,374.9999,875.0
630,-1500.0,187.5,812.5
631,-1500.0,749.9999,937.5
632,-1500.0,937.4989,1000.0
633,-1500.0,562.4999,875.0
634,-1500.0,374.9999,812.5
635,-1500.0,937.4989,937.5
636,-1500.0,1124.9999,1000.0
637,-1500.0,749.9999,875.0
638,-1500.0,562.4999,812.5
639,-1500.0,1124.9999,937.5
640,-1500.0,1312.4999,1000.0
641,-1500.0,937.4989,875.0
642,-1500.0,749.9999,812.5
643,-1500.0,1312.4999,937.5
644,-1500.0,1499.9999,1000.0
645,-1500.0,1499.9999,937.5
646,-1500.0,1124.9999,875.0
647,-1500.0,1312.4999,875.0001
648,-1500.0,1499.9999,875.0001
649,-1500.0,937.4989,812.5
650,-1500.0,1124.9999,812.5
651,-1500.0,1312.4999,812.5001
652,-1500.0,1499.9999,812.5001
653,-1500.0,937.4989,750.0
654,-1500.0,1312.4999,750.0001
655,-1500.0,1499.9999,750.0001
656,-1500.0,1124.9999,750.0
657,-1500.0,1312.4999,687.5001
658,-1500.0,1499.9999,687.5001
659,-1500.0,1124.9999,687.5001
660,-1500.0,1312.4999,625.0001
661,-1500.0,1499.9999,625.0001
662,-1500.0,1124.9999,625.0001
663,-1500.0,937.4989,687.5001
664,-1500.0,937.4989,625.0001
665,-1500.0,1124.9999,562.5001
666,-1500.0,1312.4999,562.5001
667,-1500.0,1499.9999,562.5001
668,-1500.0,937.4989,562.5001
669,-1500.0,1312.4999,500.0001
670,-1500.0,1499.9999,500.0001
671,-1500.0,1124.9999,500.0001
672,-1500.0,1312.4999,437.5001
673,-1500.0,1499.9999,437.5001
674,-1500.0,1124.9999,437.5001
675,-1500.0,937.4989,500.0001
676,-1500.0,937.4989,437.5001
677,-1500.0,1124.9999,375.0001
678,-1500.0,1312.4999,375.0001
679,-1500.0,1499.9999,375.0001
680,-1500.0,937.4989,375.0001
681,-1500.0,1312.4999,312.5001
682,-1500.0,1499.9999,312.5001
683,-1500.0,1124.9999,312.5001
684,-1500.0,1312.4999,250.0001
685,-1500.0,1499.9999,250.0001
686,-1500.0,1124.9999,250.0001
687,-1500.0,937.4989,312.5001
688,-1500.0,937.4989,250.0001
689,-1500.0,1124.9999,187.5001
690,-1500.0,1312.4999,187.5001
691,-1500.0,1499.9999,187.5001
692,-1500.0,937.4989,187.5001
693,-1500.0,1312.4999,125.0001
694,-1500.0,1499.9999,125.0001
695,-1500.0,1124.9999,125.0001
696,-1500.0,1312.4999,62.5002
697,-1500.0,1499.9999,62.5002
698,-1500.0,1499.9999,0.0002
699,-1500.0,1312.4999,0.0002
700,-1500.0,1124.9999,0.0001
701,-1500.0,1124.9999,62.5001
702,-1500.0,937.4989,0.0001
703,-1500.0,937.4989,62.5001
704,-1500.0,749.9999,0.0001
705,-1500.0,937.4989,125.0001
706,-1500.0,749.9999,62.5001
707,-1500.0,562.4999,0.0001
708,-1500.0,749.9999,125.0001
709,-1500.0,562.4999,62.5001
710,-1500.0,375.0,0.0001
711,-1500.0,749.9999,187.5001
712,-1500.0,562.4999,125.0001
713,-1500.0,375.0,62.5001
714,-1500.0,187.5,0.0001
715,-1500.0,749.9999,250.0001
716,-1500.0,562.4999,187.5001
717,-1500.0,375.0,125.0001
718,-1500.0,187.5,62.5001
719,-1500.0,0.0,0.0001
720,-1500.0,375.0,187.5001
721,-1500.0,0.0,62.5001
722,-1500.0,-187.5,0.0001
723,-1500.0,187.5,125.0
724,-1500.0,-187.5,62.5001
725,-1500.0,-374.9999,0.0
726,-1500.0,0.0,125.0
727,-1500.0,-374.9999,62.5
728,-1500.0,-562.4999,0.0
729,-1500.0,-187.5,125.0
730,-1500.0,187.5,187.5
731,-1500.0,0.0,187.5
732,-1500.0,-374.9999,125.0
733,-1500.0,-562.4999,62.5
734,-1500.0,-749.9999,0.0
735,-1500.0,-187.5,187.5
736,-1500.0,-749.9999,62.5
737,-1500.0,-937.4989,0.0
738,-1500.0,-562.4999,125.0
739,-1500.0,-937.4989,62.5
740,-1500.0,-1124.9999,0.0
741,-1500.0,-749.9999,125.0
742,-1500.0,-374.9999,187.5
743,-1500.0,-562.4999,187.5
744,-1500.0,-937.4989,125.0
745,-1500.0,-1124.9999,62.5
746,-1500.0,-1312.4999,-0.0
747,-1500.0,-749.9999,187.5
748,-1500.0,-1312.4999,62.5
749,-1500.0,-1499.9999,-0.0
750,-1500.0,-1499.9999,62.5
751,-1500.0,-1124.9999,125.0
752,-1500.0,-1312.4999,124.9999
753,-1500.0,-1499.9999,124.9999
754,-1500.0,-937.4989,187.5
755,-1500.0,-1124.9999,187.5
756,-1500.0,-1312.4999,187.4999
757,-1500.0,-1499.9999,187.4999
758,-1500.0,-937.4989,250.0
759,-1500.0,-1312.4999,250.0
760,-1500.0,-1499.9999,249.9999
761,-1500.0,-1124.9999,250.0
762,-1500.0,-1312.4999,312.4999
763,-1500.0,-1499.9999,312.4999
764,-1500.0,-1124.9999,312.4999
765,-1500.0,-1312.4999,374.9999
766,-1500.0,-1499.9999,374.9999
767,-1500.0,-1124.9999,374.9999
768,-1500.0,-937.4989,312.4999
769,-1500.0,-937.4989,375.0
770,-1500.0,-1124.9999,437.4999
771,-1500.0,-1312.4999,437.4999
